INFO [main] testsimulator.testsimulatorforecast - primo append
INFO [main] Utilities.DataSetCreator - @relation dataset3

@attribute NumNodes numeric
@attribute ReplicationDegree numeric
@attribute AvgPutsPerWrTransaction numeric
@attribute AvgPrepareCommandSize numeric
@attribute MemoryInfo_used numeric
@attribute AvgGetsPerROTransaction numeric
@attribute AvgGetsPerWrTransaction numeric
@attribute LocalUpdateTxLocalServiceTime numeric
@attribute LocalUpdateTxPrepareServiceTime numeric
@attribute LocalUpdateTxCommitServiceTime numeric
@attribute LocalUpdateTxLocalRollbackServiceTime numeric
@attribute LocalUpdateTxRemoteRollbackServiceTime numeric
@attribute RemoteGetServiceTime numeric
@attribute GMUClusteredGetCommandServiceTime numeric
@attribute RemoteUpdateTxPrepareServiceTime numeric
@attribute RemoteUpdateTxCommitServiceTime numeric
@attribute RemoteUpdateTxRollbackServiceTime numeric
@attribute ReadOnlyTxTotalCpuTime numeric
@attribute PercentageSuccessWriteTransactions numeric
@attribute PercentageWriteTransactions numeric
@attribute AvgLocalGetTime numeric
@attribute LocalUpdateTxPrepareResponseTime numeric
@attribute LocalUpdateTxLocalResponseTime numeric
@attribute AverageWriteTime numeric
@attribute AvgTxArrivalRate numeric
@attribute AvgNTCBTime numeric
@attribute NumberOfEntries numeric
@attribute AvgClusteredGetCommandReplySize numeric
@attribute MAX_ACTIVE_THREADS numeric
@attribute CORE_PER_CPU numeric
@attribute ACF numeric
@attribute ReplicationProtocol numeric

@data
30,2,5,3186.133333,174.997214,10,10,3817.166667,2020.333333,841.4,216.433333,756.3,303.866667,81.533333,550.1,168.866667,80.633333,3117.233333,0.100255,0.100255,456.366667,26848.2,33381.2,3817.166667,0.041131,0,1000,1289,2,2,0.001,2
30,2,5,3186.166667,167.642948,10,10,4062.3,1932.766667,834.133333,207,679.833333,357.266667,105,512.166667,171.733333,43.6,3778.9,0.898901,0.898901,578.933333,31696.933333,39419.733333,4062.3,0.004436,0,1000,1289.066667,2,2,0.001,2
10,2,5,3055.2,393.698684,10,10,3428.2,2848.2,583.1,233.9,494.1,323,531.5,2015.8,91.2,84.4,3053.7,0.900741,0.900741,402.3,35070,36650.8,3428.2,0.002371,0,100000,810,2,2,0.00001,2
20,2,5,3129,293.032355,10,10,12749.4,2099.65,762.75,275.35,699.55,1166.2,1139.25,1386.55,120.35,90.2,12776.4,0.898296,0.898296,4124.2,123756.5,118630.15,12749.4,0.003011,0,100000,1049.9,2,2,0.00001,2
20,14,5,3140.45,120.380025,10,10,9737.45,3006.9,1239.85,604.65,683.75,1119.1,905,3434.8,325.3,91.4,9146.65,0.098252,0.098252,4681.55,487165.5,94028.5,9737.45,0.001864,0,1000,1049.85,2,2,0.001,2
30,2,5,3186.033333,174.976269,10,10,4034.5,1937.2,828.633333,208.2,683.733333,350.533333,102.733333,541.533333,168.3,45.266667,3597,0.500634,0.500634,597.266667,31350.933333,38971.133333,4034.5,0.00828,0,1000,1289.033333,2,2,0.001,2
10,2,5,3033.1,215.940802,10,10,2614.9,1866.6,631.5,218.7,522,230,61.5,799.1,153.3,76.4,2091.1,0.100883,0.100883,149.3,19625.4,19103.5,2614.9,0.008966,0,1000,809,2,2,0.001,2
30,11,5,3225.7,250.680945,10,10,20343.1,4887.9,1995.1,99.733333,972.8,1761.1,2241.666667,4481.066667,252.533333,125.566667,20003.9,0.09735,0.09735,16462.933333,1447498,534525.8,20343.1,0.002706,0,100000,1290,2,2,0.00001,2
10,2,5,3033.4,243.547062,10,10,2654.8,2159.5,593.6,191.3,460.6,252.6,79.1,1283.9,111.8,55.5,2342.5,0.496955,0.496955,273.3,24845,24029.1,2654.8,0.003109,0,1000,809,2,2,0.001,2
10,10,5,3107,399.327701,10,10,3710.1,4186.8,708.6,462.1,567.1,0,0,4341.4,109,83,3411.9,0.899067,0.899067,635.6,70963.8,7266.6,3710.1,0.001785,0,100000,0,2,2,0.00001,2
10,2,5,3055.2,369.369967,10,10,3163.5,2682.1,599.7,318.7,512.6,293.9,460.3,1788.6,103.8,87.9,2742.5,0.500053,0.500053,319.1,29839,33095.6,3163.5,0.003633,0,100000,810,2,2,0.00001,2
10,2,5,3055,347.788769,10,10,2978.5,2088,623.1,277.8,580.4,263.2,226.4,934.9,148,109,2397.3,0.09947,0.09947,153.6,21523.4,24102.9,2978.5,0.007702,0,100000,810,2,2,0.00001,2
