SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,gMUClusteredGetCommandWaitingTime,avgWriteTxDuration,remoteUpdateTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxPrepareResponseTime,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,avgCompleteNotificationAsync,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,remoteUpdateTxCommitServiceTime,gMUWaitingTimeEnabled,avgNumNodesCommit,tOGMUPrepareRttMinusMaxValidationTime,numRemoteRemoteLockContentions,avgCommitAsync,localUpdateTxTotalCpuTime,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,remoteUpdateTxPrepareServiceTime,localUpdateTxLocalServiceTime,avgNumOfLockRemoteTx,avgPutsPerWrTransaction,localUpdateTxCommitServiceTime,numWaitedLocalCommits,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,localUpdateTxLocalRollbackResponseTime,abortRate,numberOfLocalCommits,avgNumOfLockLocalTx,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,avgClusteredGetCommandReplySize,numOwnedWrItemsInRemotePrepare,avgReadOnlyTxDuration,numWaitedRemoteCommits,replicationDegree,avgNumNodesRollback,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numLocalLocalLockContentions,numWaitedRemoteGets,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareRtt,numEarlyAborts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgCommitCommandSize,avgLocalSuccessfulLockHoldTime,avgNumNodesCompleteNotification,switchCoolDownTime,tOPrepareWaitTime,numOwnedRdItemsInRemotePrepare,lockContentionProbability,remotelyDeadXact,avgGetsPerROTransaction,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,availableProtocolsInfo,tOGMUAvgSuccessfulValidationServiceTime,localUpdateTxLocalRollbackServiceTime,currentProtocolId,numLocalPrepareAborts,numOwnedRdItemsInLocalPrepare,avgRemoteGetsPerWrTransaction,avgAbortedWriteTxDuration,avgLocalRemoteAbortLockHoldTime,remoteUpdateTxCommitResponseTime,localUpdateTxPrepareServiceTime,localUpdateTxLocalResponseTime,numRemoteLocalLockContentions,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalServiceTime,localReadOnlyTxLocalResponseTime,avgNumOfLockSuccessLocalTx,numAbortedTxDueToReadLock,avgNTCBTime,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,gMUClusteredGetCommandServiceTime,updateXactToPrepare,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localUpdateTxCommitResponseTime,waitedTimeInRemoteCommitQueue,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,writeSkewProbability,localReadOnlyTxCommitResponseTime,avgRollbackRtt,percentageWriteTransactions,Before,After
0,180005,0,9836,77,0,0,24758.602,18087.471891927613,24758.602,7.6649673156461215,6935.645467532467,0.9993687888252717,1.5726284E8,1,100000,UNIFORM,1,24.768649450216888,23.436831534348837,2,0,0,24606,129,0,0,0,0.0,0,0,77,false,10,0,0,592,17881,0,0,0,0,125,16279,0,5.0,762,0,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,6540,9,0,2863,0,0,18054,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4864,10795,0,5.0,0,-1.0,0,0,0.0,9913,0,5000,0,18007,0,true,0,0,0,0,5.0,18003,0,10,0,0,0.0,385,0,0,0,0.0,16559,0,0,0,0,0,true,24610,0.0,0,5348,0,0,30029,55.07222222222222,0,71,6540,0,60,0,0.0,0.0,0,5000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,0,79,783,17800,0,0,0,16147,17580,0,0,78,5549,49565000,0,0,0,77,0,0,1197,0,0,0.0,5.0,4968,2PC__ TO__ PB,0,0,0,59.97222222222222,0.007767577927973369,0,0.0,0,0,0.007767577927973369,100020,100020
1,179996,0,9777,120,0,0,25743.865758333333,18076.17515597832,25743.865758333333,6.320988279276548,7260.079833333333,0.999464771888068,1.3731754506666666E8,1,100000,UNIFORM,1,23.075254420531472,21.55083974941902,2,0,0,25601,113,0,0,0,0.0,0,0,65,false,10,0,0,963,18809,0,0,0,0,105,16629,0,5.0,852,0,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,6774,9,0,2863,0,0,18088,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},5214,10736,0,5.0,0,-1.0,0,0,0.0,9897,0,5000,0,17999,0,true,0,0,0,0,5.0,17996,0,10,0,0,0.0,600,0,0,0,0.0,16615,0,0,0,0,0,true,25605,0.0,0,5077,0,0,32748,54.983333333333334,0,71,6774,0,60,0,0.0,0.0,0,5000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,0,62,1279,18459,0,0,0,16298,17668,0,0,70,5574,49485000,0,0,0,120,0,0,1518,0,0,0.0,5.0,5423,2PC__ TO__ PB,0,0,0,59.644444444444446,0.012124886329190664,0,0.0,0,0,0.012124886329190664,100020,100020
2,180004,0,9581,99,0,0,27556.696585858586,18485.662810666945,27556.696585858586,5.56155423553719,8325.58018181818,0.9771894526709595,1.3874858826666668E8,1,100000,UNIFORM,1,21.87532541322314,20.12687138429752,2,0,0,27434,101,0,0,0,0.0,0,0,69,false,10,0,0,1188,19612,0,0,0,0,102,17332,0,5.0,940,0,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,8245,9,0,2863,0,0,18502,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},5342,10540,0,5.0,0,-1.0,0,0,0.0,9680,0,5000,0,18414,0,true,0,0,0,0,5.0,18410,0,10,0,0,0.0,495,0,0,0,0.0,17091,0,0,0,0,0,true,27438,0.0,0,5950,0,0,30117,53.77777777777778,0,71,8245,0,60,0,0.0,0.0,0,5000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,0,66,1287,19228,0,0,0,16788,18101,0,0,66,6423,48400000,0,0,0,99,0,0,1729,0,0,0.0,5.0,5661,2PC__ TO__ PB,0,0,0,58.55555555555556,0.010227272727272727,0,0.0,0,0,0.010227272727272727,100020,100020
3,180004,0,9904,99,0,0,27068.293686868685,17886.497176090466,27068.293686868685,5.601490252924123,8657.038353535354,0.9992552062532559,1.375001248E8,1,100000,UNIFORM,1,23.22174657602719,22.330992102369287,2,0,0,26956,121,0,0,0,0.0,0,0,60,false,10,0,0,995,18834,0,0,0,0,110,16545,0,5.0,911,0,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,8599,9,0,2863,0,0,17903,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},5116,10863,0,5.0,0,-1.0,0,0,0.0,10003,0,5000,0,17815,0,true,0,0,0,0,5.0,17812,0,10,0,0,0.0,495,0,0,0,0.0,16477,0,0,0,0,0,true,26960,0.0,0,6461,0,0,29282,55.57222222222222,0,71,8599,0,60,0,0.0,0.0,0,5000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,0,58,1325,18412,0,0,0,16168,17496,0,0,67,6982,50015000,0,0,0,99,0,0,1508,0,0,0.0,5.0,5483,2PC__ TO__ PB,0,0,0,60.35,0.00989703089073278,0,0.0,0,0,0.00989703089073278,100020,100020
4,180015,0,9520,93,0,0,27718.84333333333,18620.003104936975,27718.84333333333,6.479451992094039,8686.207279569891,0.9992895619119367,1.386430912E8,1,100000,UNIFORM,1,24.064465099344638,21.93441027774888,2,0,0,27589,107,0,0,0,0.0,0,0,62,false,10,0,0,977,19777,0,0,0,0,109,17390,0,5.0,938,0,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,7803,9,0,2863,0,0,18628,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},5332,10479,0,5.0,0,-1.0,0,0,0.0,9613,0,5000,0,18545,0,true,0,0,0,0,5.0,18540,0,10,0,0,0.0,465,0,0,0,0.0,17176,0,0,0,0,0,true,27594,0.0,0,6317,0,0,31167,53.40555555555556,0,71,7803,0,60,0,0.0,0.0,0,5000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,0,59,1392,19036,0,0,0,16870,18230,0,0,71,6911,48065000,0,0,0,93,0,0,1585,0,0,0.0,5.0,5585,2PC__ TO__ PB,0,0,0,58.21666666666667,0.009674399251014251,0,0.0,0,0,0.009674399251014251,100020,100020
5,180010,0,9587,94,0,0,27761.10290425532,18484.705741733596,27761.10290425532,6.738740006197707,8953.12989361702,0.9991670335596223,1.422650624E8,1,100000,UNIFORM,1,25.344045759735565,23.40359869848156,2,0,0,27599,115,0,0,0,0.0,0,0,66,false,10,0,0,1078,19648,0,0,0,0,117,17207,0,5.0,1009,0,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,8532,9,0,2863,0,0,18492,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},5327,10546,0,5.0,0,-1.0,0,0,0.0,9681,0,5000,0,18407,0,true,0,0,0,0,5.0,18402,0,10,0,0,0.0,470,0,0,0,0.0,17020,0,0,0,0,0,true,27604,0.0,0,6561,0,0,33436,53.78333333333333,0,71,8532,0,60,0,0.0,0.0,0,5000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,0,70,1373,18775,0,0,0,16691,18066,0,0,73,7100,48405000,0,0,0,94,0,0,1665,0,0,0.0,5.0,5592,2PC__ TO__ PB,0,0,0,58.58888888888889,0.009709740729263505,0,0.0,0,0,0.009709740729263505,100020,100020
6,180004,0,9668,96,0,0,27431.184583333332,18327.841037546546,27431.184583333332,7.303673699303564,8512.116333333333,0.9994378038127648,1.3752135786666667E8,1,100000,UNIFORM,1,23.133984227775503,21.66466315034822,2,0,0,27301,107,0,0,0,0.0,0,0,62,false,10,0,0,1170,19587,0,0,0,0,109,17137,0,5.0,1014,0,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,8475,9,0,2863,0,0,18335,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},5191,10627,0,5.0,0,-1.0,0,0,0.0,9764,0,5000,0,18249,0,true,0,0,0,0,5.0,18246,0,10,0,0,0.0,480,0,0,0,0.0,16879,0,0,0,0,0,true,27306,0.0,0,5989,0,0,31457,54.24444444444445,0,71,8475,0,60,0,0.0,0.0,0,5000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,0,60,1377,18918,0,0,0,16563,17922,0,0,73,6585,48820000,0,0,0,96,0,0,1737,0,0,0.0,5.0,5528,2PC__ TO__ PB,0,0,0,59.03888888888889,0.009832036050798854,0,0.0,0,0,0.009832036050798854,100020,100020
7,179993,0,9302,73,0,0,27678.808013698632,19115.354756288973,27678.808013698632,6.127931413333334,8109.90795890411,0.9995415849079677,1.3749950933333334E8,1,100000,UNIFORM,1,22.616674240000002,20.98975424,2,0,0,27512,104,0,0,0,0.0,0,0,61,false,10,0,0,959,20030,0,0,0,0,105,17817,0,5.0,890,0,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,9125,9,0,2863,0,0,19103,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},5097,10261,0,5.0,0,-1.0,0,0,0.0,9375,0,5000,0,19041,0,true,0,0,0,0,5.0,19037,0,10,0,0,0.0,365,0,0,0,0.0,17660,0,0,0,0,0,true,27517,0.0,0,5909,0,0,31082,52.083333333333336,0,71,9125,0,60,0,0.0,0.0,0,5000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,0,59,1270,19525,0,0,0,17351,18722,0,0,68,6444,46875000,0,0,0,73,0,0,1490,0,0,0.0,5.0,5414,2PC__ TO__ PB,0,0,0,57.00555555555555,0.0077866666666666666,0,0.0,0,0,0.0077866666666666666,100020,100020
8,180010,0,10123,112,0,0,25933.50599107143,17478.993334387036,25933.50599107143,5.880919687347338,8412.789383928572,0.9992264972233534,1.3772888533333334E8,1,100000,UNIFORM,1,21.304535417684416,19.710112750366388,2,0,0,25814,98,0,0,0,0.0,0,0,61,false,10,0,0,1186,18487,0,0,0,0,99,16177,0,5.0,948,0,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,8834,9,0,2863,0,0,17500,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},5187,11082,0,5.0,0,-1.0,0,0,0.0,10235,0,5000,0,17412,0,true,0,0,0,0,5.0,17408,0,10,0,0,0.0,560,0,0,0,0.0,16111,0,0,0,0,0,true,25818,0.0,0,5998,0,0,27017,56.861111111111114,0,71,8834,0,60,0,0.0,0.0,0,5000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,0,58,1311,17515,0,0,0,15807,17098,0,0,63,6525,51175000,0,0,0,112,0,0,1717,0,0,0.0,5.0,5616,2PC__ TO__ PB,0,0,0,61.56666666666667,0.010942843185149,0,0.0,0,0,0.010942843185149,100020,100020
9,180001,0,9117,96,0,0,27428.29803125,19435.51581430295,27428.29803125,6.7595185064582655,8000.852010416667,0.9993816712557805,1.3638180746666667E8,1,100000,UNIFORM,1,24.368256702485617,22.151827526321505,2,0,0,27298,118,0,0,0,0.0,0,0,90,false,10,0,0,1051,20419,0,0,0,0,119,18013,0,5.0,992,0,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,7601,9,0,2863,0,0,19428,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},5673,10076,0,5.0,0,-1.0,0,0,0.0,9213,0,5000,0,19350,0,true,0,0,0,0,5.0,19345,0,10,0,0,0.0,480,0,0,0,0.0,17911,0,0,0,0,0,true,27303,0.0,0,5617,0,0,36115,51.18333333333333,0,71,7601,0,60,0,0.0,0.0,0,5000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,0,87,1349,19432,0,0,0,17491,18913,0,0,77,6133,46065000,0,0,0,96,0,0,1667,0,0,0.0,5.0,5836,2PC__ TO__ PB,0,0,0,55.977777777777774,0.010420058612829698,0,0.0,0,0,0.010420058612829698,100020,100020
