SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,gMUClusteredGetCommandWaitingTime,avgWriteTxDuration,remoteUpdateTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxPrepareResponseTime,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,remoteUpdateTxCommitServiceTime,gMUWaitingTimeEnabled,avgCompleteNotificationAsync,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,numRemoteRemoteLockContentions,avgNumNodesCommit,tOGMUPrepareRttMinusMaxValidationTime,avgCommitAsync,localUpdateTxTotalCpuTime,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,remoteUpdateTxPrepareServiceTime,avgNumOfLockRemoteTx,localUpdateTxLocalServiceTime,localUpdateTxCommitServiceTime,avgPutsPerWrTransaction,numWaitedLocalCommits,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,abortRate,localUpdateTxLocalRollbackResponseTime,avgNumOfLockLocalTx,numberOfLocalCommits,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgClusteredGetCommandReplySize,avgReadOnlyTxDuration,numWaitedRemoteCommits,replicationDegree,avgNumNodesRollback,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numLocalLocalLockContentions,numWaitedRemoteGets,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgCommitCommandSize,avgLocalSuccessfulLockHoldTime,avgNumNodesCompleteNotification,switchCoolDownTime,tOPrepareWaitTime,numOwnedRdItemsInRemotePrepare,lockContentionProbability,remotelyDeadXact,avgGetsPerROTransaction,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,numOwnedRdItemsInLocalPrepare,avgRemoteGetsPerWrTransaction,avgAbortedWriteTxDuration,remoteUpdateTxCommitResponseTime,localUpdateTxPrepareServiceTime,avgLocalRemoteAbortLockHoldTime,numRemoteLocalLockContentions,localUpdateTxLocalResponseTime,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalResponseTime,localReadOnlyTxLocalServiceTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,gMUClusteredGetCommandServiceTime,updateXactToPrepare,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localUpdateTxCommitResponseTime,waitedTimeInRemoteCommitQueue,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,writeSkewProbability,localReadOnlyTxCommitResponseTime,avgRollbackRtt,percentageWriteTransactions,Before,After
0,179993,0,60990,628,0,1,9496.304632165606,2848.4029585833746,9515.68817356688,1.2820323926061767,6473.412023885351,0.9963512137214605,3.3529474133333333E7,1,1000,UNIFORM,1,6.2802504097762055,5.000777227803113,1,0,0,9459,94,0,0,0,0.0,60,false,0,0,0,10,0,856,4018,0,0,0,0,90,0,2667,455,5.0,0,0,0,1,0,0,1,0,SAFE,0,0,0,0,0,6397,9,0,2853,0,0,2893,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4850,67489,0,5.0,71,-1.0,0,1.6228760609552248E-5,1196,0,61618,1000,50,2826,0,true,48,0,0,5.0,0,2825,0,10,10,9208,0.0,3140,0,0,0,0.0,2493,0,0,0,0,0,true,9460,0.0,5131,0,0,0,7120,342.3222222222222,0,71,6389,0,60,0,0.0,0.0,0,1000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},501,0,2PC,1,0.0,0.0,11843,65,864,0,0,3027,0,0,2783,2456,0,23,0,5343,61618000,0,0,0,629,0,0,1046,0,0,0.0,5.0,5004,2PC__ TO__ PB,0,0,1,375.05555555555554,0.0101918270635204,888,0.0,0,0,0.010207890423408365,1020,1020
1,179996,0,66058,650,0,5,9627.38594923077,2624.2642324623816,9773.29780923077,0.8407772548079085,6776.801023076922,0.9948985009155678,3.1912549866666667E7,1,1000,UNIFORM,1,6.077233088003837,4.777365640879589,1,0,0,9596,89,0,0,0,0.0,59,false,0,0,0,10,0,847,3775,0,0,0,0,82,0,2495,425,5.0,0,0,0,1,0,0,5,0,SAFE,0,0,0,0,0,6427,9,0,2853,0,0,2671,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4970,72557,0,5.0,71,-1.0,0,7.49479112017148E-5,1518,0,66708,1000,46,2603,0,true,44,0,0,5.0,0,2602,0,10,10,7173,0.0,3250,0,0,0,0.0,2282,0,0,0,0,0,true,9597,0.0,5431,0,0,0,7631,370.6,0,71,6425,0,60,0,0.0,0.0,0,1000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},498,0,2PC,5,0.0,0.0,18803,60,830,0,0,2857,0,0,2562,2247,0,21,0,5688,66708000,0,0,0,655,0,0,1018,0,0,0.0,5.0,5114,2PC__ TO__ PB,0,0,5,403.2111111111111,0.009743958745577742,1256,0.0,0,0,0.00981817636742464,1020,1020
2,179994,0,64968,658,0,1,9860.05752431611,2665.996578546361,9892.612113981762,1.1525899858290034,6933.595171732522,0.9960655281475049,3.30849392E7,1,1000,UNIFORM,1,5.832789126426624,4.724471970378046,1,0,0,9826,81,0,0,0,0.0,55,false,0,0,0,10,0,1025,3922,0,0,0,0,76,0,2521,518,5.0,0,0,0,1,0,0,1,0,SAFE,0,0,0,0,0,6767,9,0,2853,0,0,2717,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4836,71467,0,5.0,71,-1.0,0,1.523763085315495E-5,1009,0,65626,1000,36,2646,0,true,34,0,0,5.0,0,2645,0,10,10,0,0.0,3290,0,0,0,0.0,2331,0,0,0,0,0,true,9827,0.0,5376,0,0,0,6209,364.5888888888889,0,71,6767,0,60,0,0.0,0.0,0,1000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},400,0,2PC,1,0.0,0.0,21109,54,855,0,0,2929,0,0,2606,2297,0,21,0,5663,65626000,0,0,0,659,0,0,1202,0,0,0.0,5.0,5054,2PC__ TO__ PB,0,0,1,397.15555555555557,0.010026513881693231,781,0.0,0,0,0.010041598732229113,1020,1020
3,179994,0,59810,621,0,2,9575.722004830917,2904.4079892660093,9680.29131884058,1.1491871328578758,6508.541871175523,0.9968891800054265,3.328364E7,1,1000,UNIFORM,1,6.231130839111081,5.081612546125461,1,0,0,9542,83,0,0,0,0.0,57,false,0,0,0,10,0,1048,4157,0,0,0,0,80,0,2743,515,5.0,0,0,0,1,0,0,2,0,SAFE,0,0,0,0,0,6612,9,0,2853,0,0,2950,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},5109,66309,0,5.0,71,-1.0,0,3.309450134860093E-5,1239,0,60431,1000,46,2882,0,true,44,0,0,5.0,0,2881,0,10,10,32696,0.0,3105,0,0,0,0.0,2547,0,0,0,0,0,true,9544,0.0,4896,0,0,0,6801,335.72777777777776,0,71,6535,0,60,0,0.0,0.0,0,1000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},612,0,2PC,2,0.0,0.0,32238,60,872,0,0,3071,0,0,2839,2510,0,22,0,5216,60431000,0,0,0,623,0,0,1222,0,0,0.0,5.0,5258,2PC__ TO__ PB,0,0,2,368.5,0.010276182753884595,967,0.0,0,0,0.01030893717008919,1020,1020
4,179995,0,65572,698,0,1,9683.090962750715,2637.6115169127065,9698.177637535817,1.3771765176321469,6733.338507163324,0.9957250892354225,3.6120064E7,1,1000,UNIFORM,1,5.907408263041149,4.960950657150186,1,0,0,9649,91,0,0,0,0.0,56,false,0,0,0,10,0,973,3968,0,0,0,0,84,0,2571,514,5.0,0,0,0,1,0,0,1,0,SAFE,0,0,0,0,0,6329,9,0,2853,0,0,2690,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4726,72071,0,5.0,71,-1.0,0,1.5089556517933939E-5,1018,0,66270,1000,45,2616,0,true,42,0,0,5.0,0,2615,0,10,10,0,0.0,3490,0,0,0,0.0,2299,0,0,0,0,0,true,9652,0.0,5218,0,0,0,7024,368.1666666666667,0,71,6329,0,60,0,0.0,0.0,0,1000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},361,0,2PC,1,0.0,0.0,10187,56,854,0,0,2962,0,0,2575,2263,0,21,0,5492,66270000,0,0,0,699,0,0,1162,0,0,0.0,5.0,4891,2PC__ TO__ PB,0,0,1,400.5111111111111,0.010532669382827825,648,0.0,0,0,0.010547600006035822,1020,1020
5,179997,0,65237,654,0,2,10147.138597859326,2652.9939699250426,10197.57495412844,1.36914968206031,7182.5557064220175,0.9960038540720215,3.1141119466666665E7,1,1000,UNIFORM,1,5.387661663606149,4.454305282806975,1,0,0,10109,91,0,0,0,0.0,59,false,0,0,0,10,0,1030,4009,0,0,0,0,88,0,2537,531,5.0,0,0,0,1,0,0,2,0,SAFE,0,0,0,0,0,6955,9,0,2853,0,0,2705,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4640,71736,0,5.0,71,-1.0,0,3.0352237718725814E-5,879,0,65891,1000,43,2632,0,true,41,0,0,5.0,0,2631,0,10,10,6843,0.0,3270,0,0,0,0.0,2301,0,0,0,0,0,true,10111,0.0,5588,0,0,0,6574,366.06111111111113,0,71,6956,0,60,0,0.0,0.0,0,1000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},411,0,2PC,2,0.0,0.0,16249,63,912,0,0,2970,0,0,2591,2266,0,21,0,5886,65891000,0,0,0,656,0,0,1220,0,0,0.0,5.0,4875,2PC__ TO__ PB,0,0,2,398.65,0.009925482994642668,655,0.0,0,0,0.009955533971742066,1020,1020
6,179995,0,65194,643,0,2,9799.015435458787,2659.700131147038,9882.974583203733,1.430894074940385,7000.137872472784,0.9964346824388464,3.3553098666666668E7,1,1000,UNIFORM,1,5.365512249578517,4.481536429775665,1,0,0,9755,91,0,0,0,0.0,56,false,0,0,0,10,0,1027,3937,0,0,0,0,89,0,2487,532,5.0,0,0,0,1,0,0,2,0,SAFE,0,0,0,0,0,6841,9,0,2853,0,0,2708,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4839,71693,0,5.0,71,-1.0,0,3.0377132094958914E-5,1509,0,65837,1000,42,2638,0,true,40,0,0,5.0,0,2637,0,10,10,0,0.0,3215,0,0,0,0.0,2315,0,0,0,0,0,true,9756,0.0,5332,0,0,0,6680,365.7611111111111,0,71,6841,0,60,0,0.0,0.0,0,1000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},657,0,2PC,2,0.0,0.0,26678,58,887,0,0,2811,0,0,2598,2280,0,21,0,5685,65837000,0,0,0,645,0,0,1224,0,0,0.0,5.0,5032,2PC__ TO__ PB,0,0,2,398.4111111111111,0.00976654464814618,1240,0.0,0,0,0.00979662510062425,1020,1020
7,179993,0,66035,699,0,3,9668.091203147354,2618.697403543575,9742.263163090129,1.0145898976579708,6779.960051502146,0.9958744601740881,3.2515602666666668E7,1,1000,UNIFORM,1,5.393051275903921,4.290662735813717,1,0,0,9634,90,0,0,0,0.0,56,false,0,0,0,10,0,964,3828,0,0,0,0,85,0,2486,474,5.0,0,0,0,1,0,0,3,0,SAFE,0,0,0,0,0,6745,9,0,2853,0,0,2672,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4967,72534,0,5.0,71,-1.0,0,4.4952575033339825E-5,1134,0,66734,1000,43,2599,0,true,41,0,0,5.0,0,2598,0,10,10,14118,0.0,3495,0,0,0,0.0,2281,0,0,0,0,0,true,9637,0.0,5268,0,0,0,6344,370.74444444444447,0,71,6707,0,60,0,0.0,0.0,0,1000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},559,0,2PC,3,0.0,0.0,17066,57,840,0,0,2896,0,0,2559,2247,0,20,0,5550,66734000,0,0,0,702,0,0,1155,0,0,0.0,5.0,5173,2PC__ TO__ PB,0,0,3,403.0833333333333,0.010474420834956694,920,0.0,0,0,0.010518902557801519,1020,1020
8,179997,0,65322,611,0,4,9923.830725040916,2657.7606966718713,10032.576929623569,1.0795263660767096,7077.61068903437,0.9629640955541382,3.44409392E7,1,1000,UNIFORM,1,5.270331968394074,4.264966543822133,1,0,0,9892,77,0,0,0,0.0,51,false,0,0,0,10,0,1021,3873,0,0,0,0,73,0,2511,503,5.0,0,0,0,1,0,0,4,0,SAFE,0,0,0,0,0,7089,9,0,2853,0,0,2705,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4844,71821,0,5.0,71,-1.0,0,6.066396712012982E-5,860,0,65933,1000,35,2637,0,true,33,0,0,5.0,0,2637,0,10,10,0,0.0,3055,0,0,0,0.0,2325,0,0,0,0,0,true,9893,0.0,5520,0,0,0,6728,366.2944444444444,0,71,7089,0,60,0,0.0,0.0,0,1000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},431,0,2PC,4,0.0,0.0,16455,52,832,0,0,2852,0,0,2597,2291,0,20,0,5832,65933000,0,0,0,615,0,0,1179,0,0,0.0,5.0,5063,2PC__ TO__ PB,0,0,4,399.1222222222222,0.009266983149560919,707,0.0,0,0,0.00932708494471996,1020,1020
9,179995,0,63563,637,0,0,9910.582941915227,2727.754177792112,9910.582941915227,0.8827815732087227,6985.678153846154,0.9957732905975496,3.3258592533333335E7,1,1000,UNIFORM,1,6.137617866043613,4.625585358255452,1,0,0,9857,92,0,0,0,0.0,59,false,0,0,0,10,0,951,3960,0,0,0,0,88,0,2580,471,5.0,0,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,7106,9,0,2853,0,0,2777,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4889,70062,0,5.0,0,-1.0,0,0.0,0,0,64200,1000,39,2707,0,true,36,0,0,5.0,0,2706,0,10,0,0,0.0,3185,0,0,0,0.0,2371,0,0,0,0,0,true,9859,0.0,5459,0,0,0,7136,356.6666666666667,0,71,7106,0,60,0,0.0,0.0,0,1000,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,64,878,0,0,2937,0,0,2664,2334,0,21,0,5762,64200000,0,0,0,637,0,0,1123,0,0,0.0,5.0,5102,2PC__ TO__ PB,0,0,0,389.35,0.009922118380062305,0,0.0,0,0,0.009922118380062305,1020,1020
