SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,gMUClusteredGetCommandWaitingTime,avgWriteTxDuration,remoteUpdateTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxPrepareResponseTime,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgCompleteNotificationAsync,remoteUpdateTxCommitServiceTime,gMUWaitingTimeEnabled,tOGMUPrepareRttMinusMaxValidationTime,numRemoteRemoteLockContentions,avgNumNodesCommit,avgCommitAsync,localUpdateTxTotalCpuTime,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,remoteUpdateTxPrepareServiceTime,avgNumOfLockRemoteTx,localUpdateTxLocalServiceTime,numWaitedLocalCommits,avgPutsPerWrTransaction,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,abortRate,localUpdateTxLocalRollbackResponseTime,avgNumOfLockLocalTx,numberOfLocalCommits,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,avgClusteredGetCommandReplySize,numOwnedWrItemsInRemotePrepare,avgReadOnlyTxDuration,numWaitedRemoteCommits,avgNumNodesRollback,replicationDegree,remoteContentionProbability,avgLocalLocalAbortLockHoldTime,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numLocalLocalLockContentions,numWaitedRemoteGets,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgCommitCommandSize,avgNumNodesCompleteNotification,avgLocalSuccessfulLockHoldTime,switchCoolDownTime,tOPrepareWaitTime,lockContentionProbability,numOwnedRdItemsInRemotePrepare,avgGetsPerROTransaction,remotelyDeadXact,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,availableProtocolsInfo,tOGMUAvgSuccessfulValidationServiceTime,localUpdateTxLocalRollbackServiceTime,currentProtocolId,numLocalPrepareAborts,numOwnedRdItemsInLocalPrepare,avgRemoteGetsPerWrTransaction,avgAbortedWriteTxDuration,remoteUpdateTxCommitResponseTime,avgLocalRemoteAbortLockHoldTime,localUpdateTxPrepareServiceTime,numRemoteLocalLockContentions,localUpdateTxLocalResponseTime,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalServiceTime,localReadOnlyTxLocalResponseTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,gMUClusteredGetCommandServiceTime,updateXactToPrepare,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localUpdateTxCommitResponseTime,waitedTimeInRemoteCommitQueue,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,writeSkewProbability,localReadOnlyTxCommitResponseTime,avgRollbackRtt,percentageWriteTransactions,Before,After
0,179999,0,13169,121,0,0,25591.05661983471,13417.26608466854,25591.05661983471,5.962759593679458,11132.634743801653,0.9989552084718849,2.6592994133333333E7,1,1000,UNIFORM,1,20.52053408577878,19.189025357411587,1,0,0,25472,132,0,0,0,0.0,0,0,98,false,0,0,20,1538,14485,0,0,0,0,127,0,12476,0,5.0,763,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,10688,19,0,2853,0,0,13453,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},6613,15848,0,5.0,0,-1.0,0,0.0,0,0,13290,5000,39,13345,0,true,36,0,0,0,5.0,13342,0,0,20,0.0,0,605,0,0,0,0.0,12057,0,0,0,0,0,true,25475,0.0,8932,0,0,0,27955,73.83333333333333,0,71,0,10688,60,0,0.0,0.0,5000,0,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,95,0,1195,0,14448,0,0,11941,13220,0,66,0,9199,66450000,0,0,0,121,0,0,1770,0,0,0.0,5.0,6807,2PC__ TO__ PB,0,0,0,88.09444444444445,0.009104589917231001,0,0.0,0,0,0.009104589917231001,1040,1040
1,180005,0,13479,136,0,1,24708.245088235293,13085.365248015432,24926.94886029412,6.25472062279671,11471.571602941176,0.9989281125268248,2.3802442133333333E7,1,1000,UNIFORM,1,23.377987735017626,22.04426865452409,1,0,0,24595,128,0,0,0,0.0,0,0,101,false,0,0,20,1740,14459,0,0,0,0,125,0,12013,0,5.0,850,0,0,1,0,0,1,0,SAFE,0,0,0,0,0,11682,19,0,2853,0,0,13123,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},9180,16158,0,5.0,71,-1.0,0,7.344300822561692E-5,1767,0,13615,5000,38,13009,0,true,35,0,0,0,5.0,13006,0,20,20,0.0,0,680,0,0,0,0.0,11700,0,0,0,0,0,true,24599,0.0,8849,0,0,0,28968,75.63888888888889,0,71,0,11682,60,0,0.0,0.0,5000,0,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,797,2PC,1,0.0,0.0,29457,98,0,1538,0,13234,0,0,11574,12874,0,73,0,9277,68075000,0,0,0,137,0,0,2024,0,0,0.0,5.0,9254,2PC__ TO__ PB,0,0,1,89.81666666666666,0.009988982739625413,1506,0.0,0,0,0.010061692126909518,1040,1040
2,179999,0,13828,153,0,0,25062.536738562092,12727.800360717385,25062.536738562092,5.101873471139403,11953.12425490196,0.99826728070318,2.3680420266666666E7,1,1000,UNIFORM,1,15.741131678706818,15.156402331735928,1,0,0,24965,121,0,0,0,0.0,0,0,91,false,0,0,20,1741,14014,0,0,0,0,121,0,11642,0,5.0,843,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,11804,19,0,2853,0,0,12799,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},8936,16507,0,5.0,0,-1.0,0,0.0,0,0,13981,5000,30,12667,0,true,27,0,0,0,5.0,12665,0,0,20,0.0,0,765,0,0,0,0.0,11427,0,0,0,0,0,true,24968,0.0,9304,0,0,0,22258,77.67222222222222,0,71,0,11804,60,0,0.0,0.0,5000,0,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,88,0,1481,0,13163,0,0,11328,12559,0,56,0,9768,69905000,0,0,0,153,0,0,1984,0,0,0.0,5.0,9099,2PC__ TO__ PB,0,0,0,91.75555555555556,0.010943423217223375,0,0.0,0,0,0.010943423217223375,1040,1040
3,179999,0,14561,137,0,0,24935.156394160582,12113.48245697411,24935.156394160582,5.135096475710982,12295.407459854014,0.9982929696390963,2.2317273066666666E7,1,1000,UNIFORM,1,17.956830793305212,16.18923846781875,1,0,0,24807,127,0,0,0,0.0,0,0,93,false,0,0,20,1635,13422,0,0,0,0,124,0,11048,0,5.0,784,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,12964,19,0,2853,0,0,12166,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},8803,17240,0,5.0,0,-1.0,0,0.0,0,0,14698,5000,36,12049,0,true,33,0,0,0,5.0,12047,0,0,20,0.0,0,685,0,0,0,0.0,10823,0,0,0,0,0,true,24810,0.0,9704,0,0,0,22326,81.65555555555555,0,71,0,12964,60,0,0.0,0.0,5000,0,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,90,0,1546,0,12615,0,0,10727,11945,0,61,0,10266,73490000,0,0,0,137,0,0,1880,0,0,0.0,5.0,9057,2PC__ TO__ PB,0,0,0,95.82777777777778,0.009320996053884882,0,0.0,0,0,0.009320996053884882,1040,1040
4,180006,0,13522,144,0,0,25327.063444444444,13029.919161440615,25327.063444444444,5.098458729694132,11828.399986111112,0.9819931802234542,2.3035352533333335E7,1,1000,UNIFORM,1,16.534104419727793,15.759994804624615,1,0,0,25222,128,0,0,0,0.0,0,0,92,false,0,0,20,1641,14317,0,0,0,0,127,0,12012,0,5.0,791,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,12764,19,0,2853,0,0,13094,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},7585,16201,0,5.0,0,-1.0,0,0.0,0,0,13666,5000,34,12967,0,true,32,0,0,0,5.0,12965,0,0,20,0.0,0,720,0,0,0,0.0,11740,0,0,0,0,0,true,25226,0.0,9402,0,0,0,22924,75.92222222222222,0,71,0,12764,60,0,0.0,0.0,5000,0,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,90,0,1467,0,13495,0,0,11642,12860,0,58,0,9792,68330000,0,0,0,144,0,0,1883,0,0,0.0,5.0,7798,2PC__ TO__ PB,0,0,0,90.05555555555556,0.01053709937070101,0,0.0,0,0,0.01053709937070101,1040,1040
5,179998,0,13537,126,0,0,25640.039277777778,13044.102733027996,25640.039277777778,5.547192124716387,12284.965357142857,0.9989277788140709,2.2577050666666668E7,1,1000,UNIFORM,1,18.716342457732566,17.386084095733,1,0,0,25506,128,0,0,0,0.0,0,0,95,false,0,0,20,1861,14565,0,0,0,0,125,0,12006,0,5.0,916,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,12193,19,0,2853,0,0,13093,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},7037,16216,0,5.0,0,-1.0,0,0.0,0,0,13663,5000,33,12980,0,true,31,0,0,0,5.0,12977,0,0,20,0.0,0,630,0,0,0,0.0,11697,0,0,0,0,0,true,25510,0.0,9435,0,0,0,21283,75.90555555555555,0,71,0,12193,60,0,0.0,0.0,5000,0,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,92,0,1587,0,13315,0,0,11591,12866,0,63,0,9996,68315000,0,0,0,126,0,0,2137,0,0,0.0,5.0,7235,2PC__ TO__ PB,0,0,0,90.13888888888889,0.009221986386591524,0,0.0,0,0,0.009221986386591524,1040,1040
6,180002,0,13213,124,0,0,25958.17837903226,13366.483269355938,25958.17837903226,5.346195246307266,12236.03683064516,0.9987650631270751,2.2241804266666666E7,1,1000,UNIFORM,1,16.79100434880408,15.757403763964911,1,0,0,25850,125,0,0,0,0.0,0,0,92,false,0,0,20,1698,14776,0,0,0,0,126,0,12349,0,5.0,842,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,10788,19,0,2853,0,0,13419,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},7396,15892,0,5.0,0,-1.0,0,0.0,0,0,13337,5000,43,13305,0,true,41,0,0,0,5.0,13302,0,0,20,0.0,0,620,0,0,0,0.0,12053,0,0,0,0,0,true,25854,0.0,9592,0,0,0,22073,74.09444444444445,0,71,0,10788,60,0,0.0,0.0,5000,0,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,89,0,1536,0,13699,0,0,11952,13196,0,58,0,10150,66685000,0,0,0,124,0,0,1948,0,0,0.0,5.0,7586,2PC__ TO__ PB,0,0,0,88.33888888888889,0.009297443203119142,0,0.0,0,0,0.009297443203119142,1040,1040
7,180000,0,13558,130,0,0,25238.409207692308,13021.758504351674,25238.409207692308,4.885097969023962,12368.918507692308,0.9983904487942307,2.424816E7,1,1000,UNIFORM,1,16.397570280537696,15.816529003506721,1,0,0,25129,123,0,0,0,0.0,0,0,90,false,0,0,20,1680,14214,0,0,0,0,123,0,11818,0,5.0,832,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,11441,19,0,2853,0,0,13074,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},8969,16237,0,5.0,0,-1.0,0,0.0,0,0,13688,5000,34,12961,0,true,31,0,0,0,5.0,12958,0,0,20,0.0,0,650,0,0,0,0.0,11701,0,0,0,0,0,true,25132,0.0,9696,0,0,0,20593,76.04444444444445,0,71,0,11441,60,0,0.0,0.0,5000,0,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,87,0,1515,0,12851,0,0,11598,12849,0,59,0,10277,68440000,0,0,0,130,0,0,1950,0,0,0.0,5.0,9109,2PC__ TO__ PB,0,0,0,90.25555555555556,0.009497369959088252,0,0.0,0,0,0.009497369959088252,1040,1040
8,179992,0,13966,122,0,0,25856.037918032787,12648.772872261206,25856.037918032787,5.023886073253833,13044.215540983607,0.998824430492496,2.2456706666666668E7,1,1000,UNIFORM,1,17.26798104770017,14.81095819136854,1,0,0,25738,116,0,0,0,0.0,0,0,86,false,0,0,20,2054,14222,0,0,0,0,117,0,11587,0,5.0,967,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,12094,19,0,2853,0,0,12699,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},8586,16645,0,5.0,0,-1.0,0,0.0,0,0,14088,5000,46,12587,0,true,43,0,0,0,5.0,12585,0,0,20,0.0,0,610,0,0,0,0.0,11396,0,0,0,0,0,true,25741,0.0,9936,0,0,0,21429,78.26666666666667,0,71,0,12094,60,0,0.0,0.0,5000,0,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,84,0,1613,0,12784,0,0,11303,12485,0,59,0,10522,70440000,0,0,0,122,0,0,2367,0,0,0.0,5.0,8751,2PC__ TO__ PB,0,0,0,92.52222222222223,0.008659852356615559,0,0.0,0,0,0.008659852356615559,1040,1040
9,179997,0,13635,136,0,0,25877.12505147059,12923.81794059406,25877.12505147059,6.731076247186115,12721.731625,0.9981731954056023,2.2465262933333334E7,1,1000,UNIFORM,1,24.55358209280372,22.068485658267374,1,0,0,25725,130,0,0,0,0.0,0,0,106,false,0,0,20,1762,14300,0,0,0,0,132,0,11819,0,5.0,858,0,0,1,0,0,0,0,SAFE,0,0,0,0,0,13642,19,0,2853,0,0,12968,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},9237,16314,0,5.0,0,-1.0,0,0.0,0,0,13771,5000,46,12844,0,true,43,0,0,0,5.0,12841,0,0,20,0.0,0,680,0,0,0,0.0,11549,0,0,0,0,0,true,25729,0.0,9956,0,0,0,30781,76.50555555555556,0,71,0,13642,60,0,0.0,0.0,5000,0,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,109,0,1561,0,13155,0,0,11412,12700,0,76,0,10465,68855000,0,0,0,136,0,0,2042,0,0,0.0,5.0,9492,2PC__ TO__ PB,0,0,0,90.68333333333334,0.00987582601118292,0,0.0,0,0,0.00987582601118292,1040,1040
