SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,avgWriteTxDuration,gMUClusteredGetCommandWaitingTime,remoteUpdateTxPrepareResponseTime,localReadOnlyTxPrepareResponseTime,numKilledTxDueToValidation,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,remoteUpdateTxCommitServiceTime,gMUWaitingTimeEnabled,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgCompleteNotificationAsync,numRemoteRemoteLockContentions,tOGMUPrepareRttMinusMaxValidationTime,avgNumNodesCommit,avgCommitAsync,localUpdateTxTotalCpuTime,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,avgNumOfLockRemoteTx,remoteUpdateTxPrepareServiceTime,localUpdateTxLocalServiceTime,avgPutsPerWrTransaction,numWaitedLocalCommits,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,localUpdateTxLocalRollbackResponseTime,abortRate,avgNumOfLockLocalTx,numberOfLocalCommits,avgGetsPerWrTransaction,readOnlyTxTotalResponseTime,remoteUpdateTxRollbackServiceTime,avgLockWaitingTime,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgClusteredGetCommandReplySize,avgReadOnlyTxDuration,numWaitedRemoteCommits,avgNumNodesRollback,replicationDegree,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numLocalLocalLockContentions,numWaitedRemoteGets,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgLocalSuccessfulLockHoldTime,avgNumNodesCompleteNotification,avgCommitCommandSize,switchCoolDownTime,lockContentionProbability,tOPrepareWaitTime,numOwnedRdItemsInRemotePrepare,avgGetsPerROTransaction,remotelyDeadXact,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,avgRemoteGetsPerWrTransaction,numOwnedRdItemsInLocalPrepare,avgAbortedWriteTxDuration,avgLocalRemoteAbortLockHoldTime,localUpdateTxPrepareServiceTime,remoteUpdateTxCommitResponseTime,localUpdateTxLocalResponseTime,numRemoteLocalLockContentions,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalResponseTime,localReadOnlyTxLocalServiceTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,gMUClusteredGetCommandServiceTime,updateXactToPrepare,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,waitedTimeInRemoteCommitQueue,localUpdateTxCommitResponseTime,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,writeSkewProbability,localReadOnlyTxCommitResponseTime,avgRollbackRtt,percentageWriteTransactions,Before,After
0,299992,0,82735,4415,0,33,8768.690858437147,3149.168403529341,8851.11840453001,0.9945256070564216,5502.626238958097,0.9676762229345123,7.4275976E7,1,2500,UNIFORM,1,5.66631295091933,4.7402019086289755,1,0,8738,0,69,0,0,0,0.0,39,false,0,0,6,0,10,418,3663,0,0,0,0,0,60,2769,5.0,0,279,0,0,1,0,0,33,0,SAFE,0,0,0,0,0,5379,9,0,2856,0,6,3414,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4323,123979,0,5.0,71,-1.0,0,594,3.78514159870617E-4,0,87150,1000,3127,38,0,true,35,0,0,5.0,0,3126,0,9,10,11571,0.0,22075,0,0,0,true,0.0,2625,0,0,0,0,0,true,8740,0.0,0,4715,0,0,7378,290.5,0,5347,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},271,0,2PC,33,0.0,0.0,10947,0,590,51,3282,0,0,0,3079,2584,0,22,0,4878,87150000,0,0,0,4448,0,0,0,549,0,2.697841726618705E-4,5.0,4434,2PC__ TO__ PB,0,0,33,413.9533333333333,0.05065978198508319,470,0.0,0,0,0.05101912070013649,2520,2520
1,299995,0,77236,4079,0,19,9307.704644765874,3383.884507159874,9371.408807060554,1.1816965844542258,5713.48745158127,0.9783332240724869,1.2308915026086956E8,1,2500,UNIFORM,1,6.848012417931001,5.4993597388546,2,0,9277,0,70,0,0,0,0.0,39,false,0,0,2,0,10,503,3976,0,0,0,0,0,62,3052,5.0,0,312,0,0,1,0,0,19,0,SAFE,0,0,0,0,0,5754,9,0,2856,0,2,3659,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4425,118480,0,5.0,71,-1.0,0,762,2.3360464258489685E-4,0,81315,1000,3360,37,0,true,35,0,0,5.0,0,3359,0,10,10,13846,0.0,20395,0,0,0,true,0.0,2835,0,0,0,0,0,true,9279,0.0,0,4786,0,0,7964,271.05,0,5729,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},355,0,2PC,19,0.0,0.0,13583,0,585,55,3610,0,0,0,3311,2793,0,24,0,4976,81315000,0,0,0,4098,0,0,0,657,0,9.760858955588091E-5,5.0,4558,2PC__ TO__ PB,0,0,19,395.61,0.05016294656582426,647,0.0,0,0,0.05038483291120564,2520,2520
2,299998,0,76051,4026,0,22,9441.728985345255,3436.6083123956296,9505.517917039246,1.084809710483277,5845.615148534525,0.978749624103955,7.328230782608695E7,1,2500,UNIFORM,1,6.250833218891622,4.673567110700509,2,0,9413,0,62,0,0,0,0.0,34,false,0,0,2,0,10,583,3986,0,0,0,0,0,53,3068,5.0,0,331,0,0,1,0,0,22,0,SAFE,0,0,0,0,0,5869,9,0,2856,0,2,3719,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4406,117293,0,5.0,71,-1.0,0,916,2.746601081162062E-4,0,80077,1000,3415,32,0,true,29,0,0,5.0,0,3414,0,10,10,7707,0.0,20130,0,0,0,true,0.0,2909,0,0,0,0,0,true,9415,0.0,0,4842,0,0,6852,266.92333333333335,0,5864,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},338,0,2PC,22,0.0,0.0,11530,0,563,51,3614,0,0,0,3368,2869,0,22,0,5038,80077000,0,0,0,4048,0,0,0,731,0,9.881422924901186E-5,5.0,4550,2PC__ TO__ PB,0,0,22,391.6533333333333,0.05027660876406459,799,0.0,0,0,0.05053745989338194,2520,2520
3,299993,0,78940,4212,0,20,9155.240146961063,3304.319241360527,9212.138474358973,0.9607996320877219,5642.208630579297,0.9568086880136405,1.2578236069565217E8,1,2500,UNIFORM,1,5.711373298706296,4.757966503150099,2,0,9128,0,61,0,0,0,0.0,34,false,0,0,3,0,10,492,3857,0,0,0,0,0,53,3020,5.0,0,297,0,0,1,0,0,20,0,SAFE,0,0,0,0,0,5539,9,0,2856,0,3,3582,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4503,120182,0,5.0,71,-1.0,0,840,2.4046554128793343E-4,0,83152,1000,3284,36,0,true,33,0,0,5.0,0,3283,0,9,10,10730,0.0,21060,0,0,0,true,0.0,2821,0,0,0,0,0,true,9130,0.0,0,4770,0,0,6735,277.17333333333335,0,5522,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},307,0,2PC,20,0.0,0.0,11865,0,517,51,3530,0,0,0,3239,2782,0,20,0,4946,83152000,0,0,0,4232,0,0,0,624,0,1.4177693761814744E-4,5.0,4610,2PC__ TO__ PB,0,0,20,401.2866666666667,0.050654223590533,733,0.0,0,0,0.05088250853652672,2520,2520
4,299997,0,75541,4010,0,23,9272.04122244389,3470.8983935875885,9343.75595436409,1.0860263528288134,5730.840578553616,0.9798486433541126,1.0618855895652173E8,1,2500,UNIFORM,1,5.760473219895945,4.782717407695981,2,0,9242,0,63,0,0,0,0.0,35,false,0,0,3,0,10,544,3984,0,0,0,0,0,54,3065,5.0,0,334,0,0,1,0,0,23,0,SAFE,0,0,0,0,0,5629,9,0,2856,0,3,3744,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4370,116783,0,5.0,71,-1.0,0,709,2.890391333852766E-4,0,79551,1000,3449,34,0,true,32,0,0,5.0,0,3448,0,9,10,6548,0.0,20050,0,0,0,true,0.0,2947,0,0,0,0,0,true,9244,0.0,0,4765,0,0,6491,265.17,0,5625,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},273,0,2PC,23,0.0,0.0,12416,0,560,49,3555,0,0,0,3402,2907,0,22,0,4958,79551000,0,0,0,4033,0,0,0,698,0,1.4877262583684603E-4,5.0,4497,2PC__ TO__ PB,0,0,23,389.95666666666665,0.050407914419680455,593,0.0,0,0,0.05068238369316611,2520,2520
5,299995,0,77603,4091,0,23,9437.924018088486,3359.529390319962,9515.60395282327,0.8658157421344396,5893.275803471034,0.9381416981240354,1.054227652173913E8,1,2500,UNIFORM,1,6.108308467026445,4.872343380202405,2,0,9407,0,68,0,0,0,0.0,36,false,0,0,1,0,10,588,4010,0,0,0,0,0,56,3004,5.0,0,354,0,0,1,0,0,23,0,SAFE,0,0,0,0,0,5726,9,0,2856,0,1,3645,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4331,118845,0,5.0,71,-1.0,0,759,2.8145918229988863E-4,0,81694,1000,3338,41,0,true,38,0,0,5.0,0,3337,0,10,10,9706,0.0,20455,0,0,0,true,0.0,2834,0,0,0,0,0,true,9409,0.0,0,4852,0,0,7026,272.31333333333333,0,5709,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},322,0,2PC,23,0.0,0.0,13699,0,625,49,3560,0,0,0,3290,2793,0,21,0,5061,81694000,0,0,0,4114,0,0,0,751,0,4.861448711716091E-5,5.0,4474,2PC__ TO__ PB,0,0,23,396.8233333333333,0.05007711704653953,651,0.0,0,0,0.05034448156442356,2520,2520
6,300004,0,76458,4165,0,22,9433.841695318128,3401.1981867953646,9510.2833757503,0.9957047554095108,5852.89011332533,0.9791495832550231,1.0580500243478261E8,1,2500,UNIFORM,1,6.003915531031062,4.829270506541013,2,0,9401,0,66,0,0,0,0.0,35,false,0,0,3,0,10,592,4006,0,0,0,0,0,55,3073,5.0,0,348,0,0,1,0,0,22,0,SAFE,0,0,0,0,0,5896,9,0,2856,0,3,3694,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4407,117700,0,5.0,71,-1.0,0,707,2.728005456010912E-4,0,80623,1000,3380,34,0,true,32,0,0,5.0,0,3379,0,9,10,9399,0.0,20825,0,0,0,true,0.0,2874,0,0,0,0,0,true,9404,0.0,0,4817,0,0,6642,268.74333333333334,0,5877,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},340,0,2PC,22,0.0,0.0,14357,0,559,47,3595,0,0,0,3332,2833,0,22,0,5015,80623000,0,0,0,4187,0,0,0,758,0,1.4330069262001433E-4,5.0,4557,2PC__ TO__ PB,0,0,22,393.0133333333333,0.051660196221921785,591,0.0,0,0,0.05191890383780767,2520,2520
7,299993,0,77414,4114,0,18,9206.655846864365,3378.7417782959155,9251.657128828392,1.116025261815417,5705.263184978124,0.9340936573534664,1.0909584139130434E8,1,2500,UNIFORM,1,6.111346859441297,4.834706374316337,2,0,9176,0,63,0,0,0,0.0,35,false,0,0,1,0,10,526,3924,0,0,0,0,0,54,3025,5.0,0,328,0,0,1,0,0,18,0,SAFE,0,0,0,0,0,5584,9,0,2856,0,1,3653,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4419,118656,0,5.0,71,-1.0,0,535,2.2073430946950188E-4,0,81528,1000,3358,34,0,true,32,0,0,5.0,0,3357,0,10,10,7347,0.0,20570,0,0,0,true,0.0,2856,0,0,0,0,0,true,9177,0.0,0,4757,0,0,6608,271.76,0,5576,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},273,0,2PC,18,0.0,0.0,10201,0,546,49,3517,0,0,0,3312,2816,0,22,0,4946,81528000,0,0,0,4132,0,0,0,682,0,4.84027105517909E-5,5.0,4537,2PC__ TO__ PB,0,0,18,396.1933333333333,0.050461191247178884,436,0.0,0,0,0.05067078704044343,2520,2520
8,299993,0,76065,4060,0,21,9358.12854507389,3435.741562558338,9429.834007635469,1.1694685449055473,5773.944357389162,0.9810001761079764,8.137396243478261E7,1,2500,UNIFORM,1,6.179140456167494,4.87052262121628,2,0,9327,0,61,0,0,0,0.0,35,false,0,0,2,0,10,551,3976,0,0,0,0,0,52,3080,5.0,0,321,0,0,1,0,0,21,0,SAFE,0,0,0,0,0,5588,9,0,2856,0,2,3714,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4402,117307,0,5.0,71,-1.0,0,918,2.6202181019639156E-4,0,80125,1000,3412,33,0,true,31,0,0,5.0,0,3411,0,9,10,11763,0.0,20300,0,0,0,true,0.0,2914,0,0,0,0,0,true,9328,0.0,0,4813,0,0,6363,267.0833333333333,0,5557,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},339,0,2PC,21,0.0,0.0,13755,0,552,49,3598,0,0,0,3365,2874,0,24,0,4996,80125000,0,0,0,4081,0,0,0,701,0,9.8015192354815E-5,5.0,4518,2PC__ TO__ PB,0,0,21,391.7,0.05067082683307332,800,0.0,0,0,0.050919571781498765,2520,2520
9,299996,0,77461,4070,0,26,9203.769023095823,3379.277792269658,9301.741414250615,1.3235018453351644,5658.610001474201,0.9806243355746331,7.647559269565217E7,1,2500,UNIFORM,1,6.2146786909768625,5.03398925904582,2,0,9171,0,70,0,0,0,0.0,38,false,0,0,3,0,10,480,3973,0,0,0,0,0,60,3034,5.0,0,302,0,0,1,0,0,26,0,SAFE,0,0,0,0,0,5669,9,0,2856,0,3,3650,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},4426,118703,0,5.0,71,-1.0,0,679,3.1879544367742805E-4,0,81531,1000,3356,34,0,true,31,0,0,5.0,0,3355,0,9,10,14835,0.0,20350,0,0,0,true,0.0,2830,0,0,0,0,0,true,9172,0.0,0,4758,0,0,6847,271.77,0,5610,0,71,60,0.0,0,0.0,1000,0,10,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},327,0,2PC,26,0.0,0.0,15236,0,611,59,3556,0,0,0,3306,2788,0,24,0,4948,81531000,0,0,0,4096,0,0,0,635,0,1.46484375E-4,5.0,4549,2PC__ TO__ PB,0,0,26,396.3566666666667,0.04991966245967792,533,0.0,0,0,0.05022254374241328,2520,2520
