SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,gMUClusteredGetCommandWaitingTime,avgWriteTxDuration,remoteUpdateTxPrepareResponseTime,localReadOnlyTxPrepareResponseTime,numKilledTxDueToValidation,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,gMUWaitingTimeEnabled,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgCompleteNotificationAsync,remoteUpdateTxCommitServiceTime,tOGMUPrepareRttMinusMaxValidationTime,avgNumNodesCommit,numRemoteRemoteLockContentions,avgCommitAsync,localUpdateTxTotalCpuTime,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,localUpdateTxLocalServiceTime,avgNumOfLockRemoteTx,remoteUpdateTxPrepareServiceTime,localUpdateTxCommitServiceTime,avgPutsPerWrTransaction,numWaitedLocalCommits,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,localUpdateTxLocalRollbackResponseTime,abortRate,avgNumOfLockLocalTx,numberOfLocalCommits,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,avgReadOnlyTxDuration,avgClusteredGetCommandReplySize,numOwnedWrItemsInRemotePrepare,numWaitedRemoteCommits,replicationDegree,avgNumNodesRollback,remoteContentionProbability,avgLocalLocalAbortLockHoldTime,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numWaitedRemoteGets,numLocalLocalLockContentions,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgNumNodesCompleteNotification,avgCommitCommandSize,avgLocalSuccessfulLockHoldTime,switchCoolDownTime,lockContentionProbability,tOPrepareWaitTime,numOwnedRdItemsInRemotePrepare,remotelyDeadXact,avgGetsPerROTransaction,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,availableProtocolsInfo,tOGMUAvgSuccessfulValidationServiceTime,localUpdateTxLocalRollbackServiceTime,currentProtocolId,numLocalPrepareAborts,avgRemoteGetsPerWrTransaction,numOwnedRdItemsInLocalPrepare,avgAbortedWriteTxDuration,avgLocalRemoteAbortLockHoldTime,remoteUpdateTxCommitResponseTime,localUpdateTxPrepareServiceTime,localUpdateTxLocalResponseTime,numRemoteLocalLockContentions,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalResponseTime,localReadOnlyTxLocalServiceTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,updateXactToPrepare,gMUClusteredGetCommandServiceTime,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localUpdateTxCommitResponseTime,waitedTimeInRemoteCommitQueue,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,localReadOnlyTxCommitResponseTime,writeSkewProbability,avgRollbackRtt,percentageWriteTransactions,Before,After
0,300001,0,69241,3660,0,62,12882.805801092896,3632.5994619372914,13122.264949999999,1.1275551580938283,9013.635008469944,0.9703502102464818,1.0195398295652173E8,1,2500,UNIFORM,1,8.48567898798021,5.896214862327481,2,0,0,12842,57,0,0,0,0.0,false,0,0,29,0,20,0,769,4188,0,0,0,0,3101,0,46,367,5.0,0,0,0,1,0,0,62,0,SAFE,0,0,0,0,0,8892,19,0,2856,0,0,4082,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},6917,141964,0,5.0,71,-1.0,0,860,8.497457615503748E-4,0,72901,1000,39,3608,0,true,36,0,0,3607,0,5.0,0,20,20,0.0,9256,18300,0,0,0,true,0.0,2912,0,0,0,0,0,true,12844,0.0,7801,0,0,0,7215,243.00333333333333,0,0,71,8886,60,0.0,0,0.0,0,1000,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,341,2PC,62,0.0,0.0,14046,0,39,695,3890,0,0,0,3556,2870,0,28,0,7982,72901000,0,0,3722,0,0,0,932,0,0,0.0,5.0,7024,2PC__ TO__ PB,0,0,62,477.2866666666667,0.050205072632748524,758,0,0.0,0,0.05101215684662089,2540,2540
1,299996,0,69417,3620,0,51,13084.898652209946,3621.8475497068443,13295.379094198895,1.369273574321366,9286.59558646409,0.9437359325510822,7.405680695652173E7,1,2500,UNIFORM,1,8.156415485442206,5.883392212127846,2,0,0,13047,56,0,0,0,0.0,false,0,0,29,0,20,0,810,4246,0,0,0,0,3089,0,46,391,5.0,0,0,0,1,0,0,51,0,SAFE,0,0,0,0,0,9416,19,0,2856,0,0,4075,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},7553,142140,0,5.0,71,-1.0,0,1041,6.977889667250437E-4,0,73037,1000,40,3597,0,true,37,0,0,3596,0,5.0,0,20,20,0.0,13532,18100,0,0,0,true,0.0,2894,0,0,0,0,0,true,13048,0.0,7983,0,0,0,7646,243.45666666666668,0,0,71,9366,60,0.0,0,0.0,0,1000,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,376,2PC,51,0.0,0.0,14842,0,43,739,3814,0,0,0,3544,2851,0,27,0,8204,73037000,0,0,3671,0,0,0,993,0,0,0.0,5.0,7644,2PC__ TO__ PB,0,0,51,477.87333333333333,0.04956391965716007,923,0,0.0,0,0.0502271234676007,2540,2540
2,299994,0,71023,3767,0,65,12808.575487921422,3527.0260377060954,13044.211122644014,0.872373989713446,9120.978189806212,0.9689919811126664,8.851075686956522E7,1,2500,UNIFORM,1,6.376571344599559,5.1509399639302655,2,0,0,12778,52,0,0,0,0.0,false,0,0,29,0,20,3,785,4062,0,0,0,0,3020,0,44,345,5.0,0,0,0,1,0,0,65,0,SAFE,0,0,0,0,0,9368,19,0,2856,0,3,3981,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},7670,143746,0,5.0,71,-1.0,0,1021,8.683454679046156E-4,0,74790,1000,32,3503,0,true,30,0,0,3502,0,5.0,0,20,19,0.0,8931,18835,0,0,0,true,0.0,2840,0,0,0,0,0,true,12779,0.0,7931,0,0,0,6898,249.3,0,0,71,9373,60,0.0,0,0.0,0,1000,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,328,2PC,65,0.0,0.0,13568,0,42,674,3702,0,0,0,3454,2800,0,24,0,8112,74790000,0,0,3832,0,0,0,934,0,0,1.5657620041753653E-4,5.0,7760,2PC__ TO__ PB,0,0,65,483.2366666666667,0.050367696216071664,896,0,0.0,0,0.05119230512323826,2540,2540
3,299996,0,66522,3522,0,67,13203.261659568427,3789.7837481434713,13487.167889551392,1.0428337921296231,9201.726539750141,0.9726656512619005,9.788407860869566E7,1,2500,UNIFORM,1,7.256767497254353,5.162655959835119,2,0,0,13171,53,0,0,0,0.0,false,0,0,27,0,20,2,807,4316,0,0,0,0,3255,0,44,351,5.0,0,0,0,1,0,0,67,0,SAFE,0,0,0,0,0,9263,19,0,2856,0,2,4252,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},7578,139245,0,5.0,71,-1.0,0,844,9.556275049564262E-4,0,70044,1000,38,3766,0,true,35,0,0,3765,0,5.0,0,20,20,0.0,9945,17610,0,0,0,true,0.0,3053,0,0,0,0,0,true,13173,0.0,7987,0,0,0,7761,233.48,0,0,71,9256,60,0.0,0,0.0,0,1000,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,334,2PC,67,0.0,0.0,14843,0,38,687,4018,0,0,0,3715,3013,0,25,0,8169,70044000,0,0,3589,0,0,0,951,0,0,1.1145165784341042E-4,5.0,7664,2PC__ TO__ PB,0,0,67,468.23,0.05028267945862601,730,0,0.0,0,0.051190255452068865,2540,2540
4,299997,0,70908,3755,0,54,12824.660907856192,3534.744621763412,13039.620360585885,1.2551788749548296,9051.84806577896,0.9245877370745381,9.210449391304348E7,1,2500,UNIFORM,1,7.1251238138576225,5.276314105223711,2,0,0,12794,55,0,0,0,0.0,false,0,0,27,0,20,0,739,4099,0,0,0,0,3044,0,44,344,5.0,0,0,0,1,0,0,54,0,SAFE,0,0,0,0,0,8817,19,0,2856,0,0,3988,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},7123,143631,0,5.0,71,-1.0,0,948,7.227270902204318E-4,0,74663,1000,33,3511,179,true,31,0,0,3510,0,5.0,0,20,20,0.0,9803,18775,0,0,0,true,0.0,2841,0,0,0,0,0,true,12795,0.0,7896,0,0,0,7063,248.87666666666667,0,0,71,8810,60,0.0,0,0.0,0,1000,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,353,2PC,54,0.0,0.0,14853,0,43,688,3791,0,0,0,3462,2800,0,24,0,8087,74663000,0,0,3809,0,0,0,887,0,0,0.0,5.0,7212,2PC__ TO__ PB,0,0,54,482.8433333333333,0.050292648299693286,837,0,0.0,0,0.0509790275305486,2540,2540
5,299993,0,66846,3545,0,60,13197.07445726375,3769.1012311581844,13456.733803385048,1.1122053483981775,9272.872854442878,0.9304179866925801,8.265417391304348E7,1,2500,UNIFORM,1,6.634846489049126,5.515627812238294,2,0,0,13161,57,0,0,0,0.0,false,0,0,29,0,20,1,872,4264,0,0,0,0,3146,0,46,382,5.0,0,0,0,1,0,0,60,0,SAFE,0,0,0,0,0,9173,19,0,2856,0,1,4230,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},7013,139569,0,5.0,71,-1.0,0,973,8.516557607415083E-4,0,70391,1000,31,3744,0,true,29,0,0,3743,0,5.0,0,20,20,0.0,7140,17725,0,0,0,true,0.0,3026,0,0,0,0,0,true,13162,0.0,7957,0,0,0,7873,234.63666666666666,0,0,71,9186,60,0.0,0,0.0,0,1000,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,376,2PC,60,0.0,0.0,15234,0,43,710,3940,0,0,0,3693,2985,0,25,0,8150,70391000,0,0,3605,0,0,0,1032,0,0,5.547850208044383E-5,5.0,7120,2PC__ TO__ PB,0,0,60,469.3066666666667,0.050361551902942135,860,0,0.0,0,0.051170316957885625,2540,2540
6,299998,0,69583,3630,0,60,13035.244603305786,3614.0845328025525,13275.026723966941,1.0166897356461453,9199.37428677686,0.9259188462746836,8.152713008695652E7,1,2500,UNIFORM,1,6.422677084328471,4.984642774282478,2,0,0,13002,52,0,0,0,0.0,false,0,0,28,0,20,2,821,4173,0,0,0,0,3108,0,44,359,5.0,0,0,0,1,0,0,60,0,SAFE,0,0,0,0,0,9522,19,0,2856,0,2,4067,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},6972,142308,0,5.0,71,-1.0,0,1161,8.188555129447409E-4,0,73213,1000,35,3590,0,true,32,0,0,3589,0,5.0,0,20,20,0.0,9244,18150,0,0,0,true,0.0,2910,0,0,0,0,0,true,13004,0.0,7963,0,0,0,6709,244.04333333333332,0,0,71,9526,60,0.0,0,0.0,0,1000,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,365,2PC,60,0.0,0.0,14423,0,40,683,3846,0,0,0,3541,2870,0,25,0,8144,73213000,0,0,3690,0,0,0,978,0,0,1.0840108401084011E-4,5.0,7095,2PC__ TO__ PB,0,0,60,478.44,0.0495813585019054,1058,0,0.0,0,0.050359614046101564,2540,2540
7,299992,0,68296,3662,0,80,12766.474649098853,3685.599137929015,13087.639560349535,1.027983925150615,9030.66936974331,0.9725120163594217,9.590840139130434E7,1,2500,UNIFORM,1,6.886141133846026,5.369365557067104,2,0,0,12738,51,0,0,0,0.0,false,0,0,27,0,20,2,775,4140,0,0,0,0,3104,0,41,348,5.0,0,0,0,1,0,0,80,0,SAFE,0,0,0,0,0,8890,19,0,2856,0,2,4139,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},7624,141019,0,5.0,71,-1.0,0,970,0.001110525000694078,0,71958,1000,30,3662,0,true,28,0,0,3661,0,5.0,0,20,19,0.0,11433,18310,0,0,0,true,0.0,2981,0,0,0,0,0,true,12739,0.0,7856,0,0,0,6873,239.86,0,0,71,8834,60,0.0,0,0.0,0,1000,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,352,2PC,80,0.0,0.0,14605,0,40,666,3753,0,0,0,3613,2941,0,25,0,8034,71958000,0,0,3742,0,0,0,922,0,0,1.0689470871191876E-4,5.0,7688,2PC__ TO__ PB,0,0,80,474.1433333333333,0.05089079740960004,847,0,0.0,0,0.0519448069074655,2540,2540
8,299995,0,69118,3602,0,59,13358.167712659633,3626.5748058392896,13596.875910882844,1.1737611673697084,9507.982226818434,0.9556630654117594,8.924618852173913E7,1,2500,UNIFORM,1,6.815779441871968,5.2133142115170585,2,0,0,13324,55,0,0,0,0.0,false,0,0,28,0,20,5,942,4244,0,0,0,0,3127,0,44,397,5.0,0,0,0,1,0,0,59,0,SAFE,0,0,0,0,0,9498,19,0,2856,0,5,4095,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},7599,141843,0,5.0,71,-1.0,0,1002,8.106734085381772E-4,0,72720,1000,34,3603,0,true,33,0,0,3602,0,5.0,0,20,19,0.0,11409,18010,0,0,0,true,0.0,2924,0,0,0,0,0,true,13326,0.0,8102,0,0,0,6821,242.4,0,0,71,9474,60,0.0,0,0.0,0,1000,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,360,2PC,59,0.0,0.0,14489,0,42,694,3868,0,0,0,3554,2885,0,25,0,8312,72720000,0,0,3661,0,0,0,1107,0,0,2.731494127287626E-4,5.0,7688,2PC__ TO__ PB,0,0,59,476.9,0.049532453245324536,867,0,0.0,0,0.05030297201115706,2540,2540
9,299997,0,67389,3614,0,71,13170.94860016602,3723.9795592455744,13458.101007747648,1.358279806961758,9234.52929192031,0.9720449363054962,9.976821356521739E7,1,2500,UNIFORM,1,7.730226116442018,5.854119846920112,2,0,0,13138,54,0,0,0,0.0,false,0,0,29,0,20,3,839,4279,0,0,0,0,3166,0,45,383,5.0,0,0,0,1,0,0,71,0,SAFE,0,0,0,0,0,9209,19,0,2856,0,3,4191,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},7614,140112,0,5.0,71,-1.0,0,979,9.989588316402622E-4,0,71003,1000,36,3698,0,true,33,0,0,3696,0,5.0,0,20,20,0.0,9953,18070,0,0,0,true,0.0,2976,0,0,0,0,0,true,13139,0.0,7932,0,0,0,8537,236.67666666666668,0,0,71,9201,60,0.0,0,0.0,0,1000,20,0,0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,364,2PC,71,0.0,0.0,14527,0,42,702,3961,0,0,0,3639,2928,0,27,0,8134,71003000,0,0,3685,0,0,0,1009,0,0,1.6282225237449117E-4,5.0,7696,2PC__ TO__ PB,0,0,71,471.12333333333333,0.05089925777784037,863,0,0.0,0,0.051847370346399524,2540,2540
