SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,avgWriteTxDuration,gMUClusteredGetCommandWaitingTime,remoteUpdateTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxPrepareResponseTime,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localReadOnlyTxRemoteNodesRead,applicationContentionFactor,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,remoteUpdateTxCommitServiceTime,gMUWaitingTimeEnabled,avgCompleteNotificationAsync,tOGMUPrepareRttMinusMaxValidationTime,numRemoteRemoteLockContentions,avgNumNodesCommit,avgCommitAsync,localUpdateTxTotalCpuTime,localUpdateCommittedXact,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,localUpdateTxLocalServiceTime,remoteUpdateTxPrepareServiceTime,avgNumOfLockRemoteTx,localUpdateTxCommitServiceTime,avgPutsPerWrTransaction,numWaitedLocalCommits,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,avgPrepareCommandSize,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,localReadOnlyCommittedXact,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,localUpdateTxLocalRollbackResponseTime,abortRate,numberOfLocalCommits,avgNumOfLockLocalTx,avgGetsPerWrTransaction,readOnlyTxTotalResponseTime,remoteUpdateTxRollbackServiceTime,avgLockWaitingTime,allowProtocolSwitch,currentProtocolAsInt,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgReadOnlyTxDuration,avgClusteredGetCommandReplySize,numWaitedRemoteCommits,replicationDegree,avgNumNodesRollback,remoteContentionProbability,avgLocalLocalAbortLockHoldTime,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numWaitedRemoteGets,numLocalLocalLockContentions,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgLocalSuccessfulLockHoldTime,avgCommitCommandSize,avgNumNodesCompleteNotification,switchCoolDownTime,tOPrepareWaitTime,numOwnedRdItemsInRemotePrepare,lockContentionProbability,remotelyDeadXact,avgGetsPerROTransaction,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,localUpdateTxRemoteNodesRead,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,numOwnedRdItemsInLocalPrepare,avgRemoteGetsPerWrTransaction,avgAbortedWriteTxDuration,localUpdateTxPrepareServiceTime,avgLocalRemoteAbortLockHoldTime,remoteUpdateTxCommitResponseTime,numRemoteLocalLockContentions,localUpdateTxLocalResponseTime,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalResponseTime,localReadOnlyTxLocalServiceTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,updateXactToPrepare,gMUClusteredGetCommandServiceTime,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,waitedTimeInRemoteCommitQueue,localUpdateTxCommitResponseTime,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,localReadOnlyTxCommitResponseTime,writeSkewProbability,avgRollbackRtt,percentageWriteTransactions,Before,After
0,180717,0,100,118,0,0,833322.5862118644,823651.1588,833322.5862118644,7.979376146788991,4829.120101694915,0.6926245960345435,1.413253248E8,1,100000,UNIFORM,1,87.52196788990825,49.29986697247707,13,0,833084,0,155,0,0,0,9.0,0.0,0,107,false,0,0,0,6,839,86736,118,0,0,0,0,85361,159,0,500,5.0,0,0,461,15,0,0,0,1,SAFE,0,0,174395,0,0,4881,5,2863,0,0,0,828649,100,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3331,868,0,1.0932203389830508,0,-1.0,0,0,0.0,218,0,1000,823422,0,0,true,0,0,36,0,1.4430769230769231,823416,0,0,2,0,0.0,0,590,0,0,0,true,3.906779661016949,84591,0,0,43,0,0,true,833092,799.12,2887,0,0,0,60514,1.211111111111111,0,4881,71,0,60,0,0.0,0.0,0,1000,6,0,0,9.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,800.7033898305085,0,789,0,142,0,828511,1011,0,823004,84264,0,244,0,3219,218000,0,975,118,0,0,0,0,1251,92,0.0,5.0,3515,2PC__ TO__ PB,0,0,0,4.822222222222222,0.5412844036697247,0,0,0.0,0,0.5412844036697247,19909,19909
1,180295,0,118,99,0,0,839448.749,823452.0463389831,839448.749,7.847649769585253,5624.4042323232325,0.5477861533568275,9.867040426666667E7,1,100000,UNIFORM,1,101.83435483870969,52.57153456221198,13,0,839187,0,163,0,0,0,9.0,0.0,0,128,false,0,0,0,6,785,85731,99,0,0,0,0,84141,141,0,646,5.0,0,0,398,18,0,0,0,1,SAFE,0,0,173845,0,0,4359,6,2863,0,0,0,830517,118,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3117,908,0,0.9797979797979798,0,-1.0,0,0,0.0,217,0,1000,823250,0,0,true,0,0,75,0,1.4819102749638204,823243,0,0,2,0,0.0,0,495,0,0,0,true,4.02020202020202,80425,0,0,43,0,0,true,839205,801.8389830508474,3454,0,0,0,72811,1.2055555555555555,0,4359,71,0,60,0,0.0,0.0,0,1000,6,0,0,9.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,800.2828282828283,0,852,0,124,0,833869,1009,0,822760,80093,0,238,0,3875,217000,0,976,99,0,0,0,0,1283,86,0.0,5.0,3229,2PC__ TO__ PB,0,0,0,5.044444444444444,0.45622119815668205,0,0,0.0,0,0.45622119815668205,19796,19796
2,180759,0,125,102,0,0,798994.2749019607,793900.406416,798994.2749019607,6.471709251101322,5203.88444117647,0.6622648634312222,1.0535835946666667E8,1,100000,UNIFORM,1,95.1218678414097,49.4353127753304,12,0,798808,0,232,0,0,0,9.0,0.0,0,117,false,0,0,0,6,666,81935,102,0,0,0,0,80475,135,0,595,5.0,0,0,427,17,0,0,0,1,SAFE,0,0,181712,0,0,5497,6,2863,0,0,0,796011,125,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3091,898,0,0.8137254901960784,0,-1.0,0,0,0.0,227,0,1000,793735,0,0,true,0,0,68,0,1.496274217585693,793728,0,0,2,0,0.0,0,510,0,0,0,true,4.186274509803922,79767,0,0,43,0,0,true,798815,800.36,3338,0,0,0,62230,1.261111111111111,0,5497,71,0,60,0,0.0,0.0,0,1000,6,0,0,9.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,800.656862745098,0,781,0,113,0,793887,968,0,793362,79465,0,198,0,3714,227000,0,936,102,0,0,0,0,1100,85,0.0,5.0,3264,2PC__ TO__ PB,0,0,0,4.988888888888889,0.44933920704845814,0,0,0.0,0,0.44933920704845814,20043,20043
3,180515,0,113,103,0,0,846078.7271262136,826118.9065309734,846078.7271262136,10.087106481481483,5916.9509223300975,0.6726210348237645,1.1765380106666666E8,1,100000,UNIFORM,1,75.62541203703704,52.46621759259259,13,0,845861,0,165,0,0,0,8.0,0.0,0,100,false,0,0,0,6,687,85716,103,0,0,0,0,84199,141,0,607,5.0,0,0,399,17,0,0,0,1,SAFE,0,0,173022,0,0,5354,5,2863,0,0,0,835417,113,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},2908,891,0,1.1262135922330097,0,-1.0,0,0,0.0,216,0,1000,825908,0,0,true,0,0,75,0,1.5007407407407407,825897,0,0,2,0,0.0,0,515,0,0,0,true,3.8737864077669903,77774,0,0,43,0,0,true,845870,801.3716814159292,3982,0,0,0,70886,1.2,0,5354,71,0,60,0,0.0,0.0,0,1000,6,0,0,8.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,800.6504854368932,0,817,0,95,0,840238,1017,0,825525,77443,0,204,0,4375,216000,0,984,103,0,0,0,0,1102,86,0.0,5.0,3152,2PC__ TO__ PB,0,0,0,4.95,0.47685185185185186,0,0,0.0,0,0.47685185185185186,19920,19920
4,180293,0,121,111,0,0,784543.571081081,770069.7251157025,784543.571081081,9.905586206896553,5206.999153153153,0.664314921114581,1.247255168E8,1,100000,UNIFORM,1,99.86368965517242,50.499909482758625,12,0,784303,0,160,0,0,0,9.0,0.0,0,90,false,0,0,0,6,714,82869,111,0,0,0,0,81442,137,0,566,5.0,0,0,459,16,0,0,0,1,SAFE,0,0,185233,0,0,5340,6,2863,0,0,0,776762,121,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},2981,915,0,0.8648648648648649,0,-1.0,0,0,0.0,232,0,1000,769850,0,0,true,0,0,73,0,1.4860907759882869,769844,0,0,2,0,0.0,0,555,0,0,0,true,4.135135135135135,77944,0,0,43,0,0,true,784312,798.099173553719,3427,0,0,0,72306,1.288888888888889,0,5340,71,0,60,0,0.0,0.0,0,1000,6,0,0,9.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,798.7657657657658,0,775,0,86,0,779343,948,0,769484,77647,0,230,0,3768,232000,0,915,111,0,0,0,0,1093,85,0.0,5.0,3237,2PC__ TO__ PB,0,0,0,5.083333333333333,0.47844827586206895,0,0,0.0,0,0.47844827586206895,20028,20028
5,180731,0,96,121,0,0,833189.9845041323,832211.2506458333,833189.9845041323,7.202599078341013,5413.389355371901,0.592843653445939,1.1543581546666667E8,1,100000,UNIFORM,1,90.52427188940092,51.220783410138246,13,0,832983,0,159,0,0,0,9.0,0.0,0,97,false,0,0,0,6,829,82465,121,0,0,0,0,80864,162,0,632,5.0,0,0,448,17,0,0,0,1,SAFE,0,0,173224,0,0,5277,6,2863,0,0,0,832534,96,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3317,883,0,1.2975206611570247,0,-1.0,0,0,0.0,217,0,1000,831974,0,0,true,0,0,76,0,1.43993993993994,831967,0,0,2,0,0.0,0,605,0,0,0,true,3.7024793388429753,81937,0,0,43,0,0,true,832994,798.9791666666666,3283,0,0,0,76383,1.2055555555555555,0,5277,71,0,60,0,0.0,0.0,0,1000,6,0,0,9.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,797.702479338843,0,872,0,112,0,827854,1016,0,831526,81605,0,227,0,3719,217000,0,982,121,0,0,0,0,1271,87,0.0,5.0,3632,2PC__ TO__ PB,0,0,0,4.905555555555556,0.5576036866359447,0,0,0.0,0,0.5576036866359447,19956,19956
6,180630,0,106,117,0,0,799986.4529914529,820877.6680849056,799986.4529914529,7.985910313901345,4770.850760683761,0.6417525001199883,1.034828128E8,1,100000,UNIFORM,1,75.68400896860986,50.0915201793722,12,0,799787,0,137,0,0,0,9.0,0.0,0,92,false,0,0,0,6,666,80082,117,0,0,0,0,78646,139,0,563,5.0,0,0,481,16,0,0,0,1,SAFE,0,0,178573,0,0,4590,6,2863,0,0,0,809708,106,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3256,886,0,0.8888888888888888,0,-1.0,0,0,0.0,223,0,1000,820666,0,0,true,0,0,77,0,1.5399698340874812,820660,0,0,2,0,0.0,0,585,0,0,0,true,4.111111111111111,83764,0,0,43,0,0,true,799795,800.566037735849,2994,0,0,0,68798,1.238888888888889,0,4590,71,0,60,0,0.0,0.0,0,1000,6,0,0,9.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,800.965811965812,0,787,0,87,0,795320,986,0,820237,83457,0,210,0,3345,223000,0,953,117,0,0,0,0,1021,87,0.0,5.0,3389,2PC__ TO__ PB,0,0,0,4.9222222222222225,0.5246636771300448,0,0,0.0,0,0.5246636771300448,19945,19945
7,180646,0,105,115,0,0,817866.1308608695,824504.5969238095,817866.1308608695,6.834913636363636,5085.391008695652,0.6435450670911297,1.2297639093333334E8,1,100000,UNIFORM,1,68.89576818181818,49.57719090909091,13,0,817641,0,138,0,0,0,9.0,0.0,0,93,false,0,0,0,6,767,82652,115,0,0,0,0,81136,141,0,595,5.0,0,0,465,17,0,0,0,1,SAFE,0,0,175906,0,0,3900,5,2863,0,0,0,820813,105,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3084,895,0,0.9565217391304348,0,-1.0,0,0,0.0,220,0,1000,824296,0,0,true,0,0,73,0,1.4725925925925927,824288,0,0,2,0,0.0,0,575,0,0,0,true,4.043478260869565,84762,0,0,43,0,0,true,817649,799.5619047619048,3160,0,0,0,61121,1.2222222222222223,0,3900,71,0,60,0,0.0,0.0,0,1000,6,0,0,9.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,799.5826086956522,0,830,0,88,0,812825,1000,0,823910,84452,0,214,0,3564,220000,0,965,115,0,0,0,0,1140,88,0.0,5.0,3168,2PC__ TO__ PB,0,0,0,4.972222222222222,0.5227272727272727,0,0,0.0,0,0.5227272727272727,19988,19988
8,180630,0,115,110,0,0,804284.6095363636,801198.508973913,804284.6095363636,6.402715555555556,4998.906381818182,0.7226353811159144,1.0555511413333334E8,1,100000,UNIFORM,1,79.97819111111112,49.64126222222222,13,0,804071,0,163,0,0,0,9.0,0.0,0,96,false,0,0,0,6,655,83932,110,0,0,0,0,82433,144,0,575,5.0,0,0,422,16,0,0,0,1,SAFE,0,0,179141,0,0,3794,5,2863,0,0,0,802466,115,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},3402,923,0,1.1636363636363636,0,-1.0,0,0,0.0,225,0,1000,800940,0,0,true,0,0,71,0,1.4656160458452723,800932,0,0,2,0,0.0,0,550,0,0,0,true,3.8363636363636364,78246,0,0,43,0,0,true,804080,796.9739130434782,3099,0,0,0,67852,1.25,0,3794,71,0,60,0,0.0,0.0,0,1000,6,0,0,9.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,795.3545454545455,0,834,0,91,0,799402,982,0,800559,77937,0,238,0,3529,225000,0,949,110,0,0,0,0,1028,85,0.0,5.0,3448,2PC__ TO__ PB,0,0,0,5.127777777777778,0.4888888888888889,0,0,0.0,0,0.4888888888888889,20353,20353
9,180628,0,95,120,0,0,851549.2280916667,825466.8940736842,851549.2280916667,7.900302325581395,5363.459808333334,0.6765722438821654,9.308336746666667E7,1,100000,UNIFORM,1,97.68565581395349,52.908139534883716,14,0,851274,0,168,0,0,0,9.0,0.0,0,95,false,0,0,0,6,826,86143,120,0,0,0,0,84577,145,0,613,5.0,0,0,458,17,0,0,0,1,SAFE,0,0,171434,0,0,4950,6,2863,0,0,0,839771,95,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},2946,881,0,1.1833333333333333,0,-1.0,0,0,0.0,215,0,1000,825252,0,0,true,0,0,71,0,1.484984984984985,825241,0,0,2,0,0.0,0,600,0,0,0,true,3.816666666666667,78202,0,0,43,0,0,true,851290,798.5052631578948,3192,0,0,0,70006,1.1944444444444444,0,4950,71,0,60,0,0.0,0.0,0,1000,6,0,0,9.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,796.4666666666667,0,859,0,90,0,846241,1025,0,824819,77878,0,265,0,3650,215000,0,991,120,0,0,0,0,1256,87,0.0,5.0,3196,2PC__ TO__ PB,0,0,0,4.894444444444445,0.5581395348837209,0,0,0.0,0,0.5581395348837209,20082,20082
