SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,gMUClusteredGetCommandWaitingTime,avgWriteTxDuration,remoteUpdateTxPrepareResponseTime,localReadOnlyTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxRemoteNodesRead,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,remoteUpdateTxCommitServiceTime,avgCompleteNotificationAsync,gMUWaitingTimeEnabled,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgNumNodesCommit,numRemoteRemoteLockContentions,tOGMUPrepareRttMinusMaxValidationTime,avgCommitAsync,localUpdateTxTotalCpuTime,localUpdateCommittedXact,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,localUpdateTxLocalServiceTime,remoteUpdateTxPrepareServiceTime,avgNumOfLockRemoteTx,numWaitedLocalCommits,avgPutsPerWrTransaction,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,avgPrepareCommandSize,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,localReadOnlyCommittedXact,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,abortRate,localUpdateTxLocalRollbackResponseTime,numberOfLocalCommits,avgNumOfLockLocalTx,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,currentProtocolAsInt,allowProtocolSwitch,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgReadOnlyTxDuration,avgClusteredGetCommandReplySize,numWaitedRemoteCommits,avgNumNodesRollback,replicationDegree,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numWaitedRemoteGets,numLocalLocalLockContentions,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,numEarlyAborts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgLocalSuccessfulLockHoldTime,avgCommitCommandSize,avgNumNodesCompleteNotification,switchCoolDownTime,numOwnedRdItemsInRemotePrepare,lockContentionProbability,tOPrepareWaitTime,remotelyDeadXact,avgGetsPerROTransaction,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,localUpdateTxRemoteNodesRead,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,avgRemoteGetsPerWrTransaction,numOwnedRdItemsInLocalPrepare,avgAbortedWriteTxDuration,localUpdateTxPrepareServiceTime,remoteUpdateTxCommitResponseTime,avgLocalRemoteAbortLockHoldTime,numRemoteLocalLockContentions,localUpdateTxLocalResponseTime,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalResponseTime,localReadOnlyTxLocalServiceTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,updateXactToPrepare,gMUClusteredGetCommandServiceTime,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localUpdateTxCommitResponseTime,waitedTimeInRemoteCommitQueue,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,localReadOnlyTxCommitResponseTime,writeSkewProbability,avgRollbackRtt,percentageWriteTransactions,Before,After
0,179991,0,30918,30877,0,0,3817.6949238267966,1991.048552752442,3817.6949238267966,1.5208827898697304,1874.7345745700684,0.5950536537623163,1.8567599093333334E8,1,200000,UNIFORM,1,12.763394222833561,8.845904474472045,18,0,0,3767,33,0,0,1.5296267546413094,0,0.0,33,0,false,0,2,0,0,204,540,30877,0,0,0,0,233,31,0,0,1.0,108,0,24804,336,0,0,0,1,SAFE,0,0,98907,0,0,1523,1,664,0,0,0,2856,30918,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1350,118388,0,0.1966836156362341,0,-1.0,0,0.0,0,61795,0,2,0,1949,0,0,true,0,23,0,1.0,1947,0,0,0,2,0,0.0,30877,0,0,0,true,0.803316384363766,234,0,0,44,0,0,true,3769,1.6016559932725274,1414,0,0,0,12667,343.30555555555554,0,1523,71,0,60,0.0,0.0,0,0,2,2,0,0,1.5274152281633577,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.599475337629951,0.0,0,175,31,0,0,1951,1150,0,1903,201,0,47,0,1503,123590,0,1100,30877,0,0,0,273,0,101,0.0,1.0,1367,2PC__ TO__ PB,0,0,0,657.7111111111111,0.4996682579496723,0,0,0.0,0,0.4996682579496723,39897,39897
1,179999,0,31671,31834,0,0,3739.886179367971,1907.753707397935,3739.886179367971,1.7316131485709787,1846.6345981340703,0.7345812267847702,1.362103712E8,1,200000,UNIFORM,1,11.688319549641761,8.415863491063696,17,0,0,3690,33,0,0,1.5206655931293613,0,0.0,29,0,false,0,2,0,0,201,547,31834,0,0,0,0,236,31,0,0,1.0,109,0,25359,332,0,0,0,1,SAFE,0,0,101547,0,0,1555,1,664,0,0,0,2779,31671,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1346,119942,0,0.2033988816988126,0,-1.0,0,0.0,0,63505,0,2,99,1865,0,0,true,96,33,0,1.0,1863,0,0,0,2,0,0.0,31834,0,0,0,true,0.7966011183011874,223,0,0,44,0,0,true,3693,1.6013703387957436,1379,0,0,0,12476,352.80555555555554,0,1555,71,0,60,0.0,0.0,0,0,2,2,0,0,1.5206383112395552,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.596720487529057,0.0,0,176,29,0,0,1902,1104,0,1819,191,0,46,0,1475,127010,0,1056,31834,0,0,0,273,0,95,0.0,1.0,1367,2PC__ TO__ PB,0,0,0,666.35,0.5012833635146838,0,0,0.0,0,0.5012833635146838,39903,39903
2,179995,0,31843,32011,0,1,3693.1304888319637,1920.8138252991237,3695.0591737527725,1.4880783337248453,1822.09736040736,0.670268500226705,1.345430544E8,1,200000,UNIFORM,1,12.39618084723201,8.42422842377261,16,0,0,3643,30,0,0,1.5264893383161133,0,0.0,27,0,false,0,2,0,0,197,543,32011,0,0,0,0,235,29,0,0,1.0,107,0,25668,329,0,0,1,1,SAFE,0,0,102011,0,0,1463,1,664,0,0,0,2765,31843,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1337,120913,0,0.1981506357189716,71,-1.0,0,1.5660480776759847E-5,745,63854,0,2,0,1882,0,0,true,0,30,0,1.0,1880,0,0,2,2,0,0.0,32011,0,0,0,true,0.8018493642810284,224,0,0,44,0,0,true,3646,1.5964890242753509,1364,0,0,0,12039,354.74444444444447,0,1463,71,0,60,0.0,0.0,0,0,2,2,0,0,1.5261004029864733,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},371,0,2PC,1,1.5986379681984317,0.0,61407,176,25,0,0,1882,1104,0,1835,190,0,46,0,1456,127708,0,1057,32012,0,0,0,266,0,95,0.0,1.0,1350,2PC__ TO__ PB,0,0,1,671.7444444444444,0.5013155009866257,370,0,0.0,0,0.5013233106256362,39902,39902
3,179995,0,30742,30820,0,0,3849.0522529850746,1979.4751443627608,3849.0522529850746,1.7267681849192684,1901.5031299805323,0.6348443239214369,1.421348352E8,1,200000,UNIFORM,1,12.13899899288522,8.780740408043922,19,0,0,3795,29,0,0,1.5178257758115932,0,0.0,27,0,false,0,2,0,0,206,559,30820,0,0,0,0,240,28,0,0,1.0,110,0,24641,343,0,0,0,1,SAFE,0,0,98523,0,0,1547,1,664,0,0,0,2867,30742,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1323,118849,0,0.20048669695003243,0,-1.0,0,0.0,0,61562,0,2,156,1938,0,0,true,151,31,0,1.0,1936,0,0,0,2,0,0.0,30820,0,0,0,true,0.7995133030499676,226,0,0,44,0,0,true,3798,1.5996356775746536,1428,0,0,0,12930,342.0111111111111,0,1547,71,0,60,0.0,0.0,0,0,2,2,0,0,1.52384815055159,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.6011356262167424,0.0,0,183,25,0,0,1959,1140,0,1892,192,0,49,0,1520,123124,0,1093,30820,0,0,0,277,0,96,0.0,1.0,1345,2PC__ TO__ PB,0,0,0,660.2777777777778,0.5006335076833112,0,0,0.0,0,0.5006335076833112,40061,40061
4,179996,0,32067,32674,0,0,3653.544661473955,1873.9176993482397,3653.544661473955,2.120890208677654,1797.9580398788025,0.6948745955702282,1.3223063466666667E8,1,200000,UNIFORM,1,12.32846673668927,8.276930862977093,15,0,0,3606,31,0,0,1.5293292169520067,0,0.0,27,0,false,0,2,0,0,198,540,32674,0,0,0,0,234,29,0,0,1.0,106,0,26142,326,0,0,0,1,SAFE,0,0,103505,0,0,1465,1,664,0,0,0,2728,32067,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1324,121575,0,0.19991430495194956,0,-1.0,0,0.0,0,64741,0,2,58,1835,0,0,true,54,32,0,1.0,1833,0,0,0,2,0,0.0,32674,0,0,0,true,0.8000856950480504,220,0,0,44,0,0,true,3608,1.6031122337605639,1348,0,0,0,11765,359.6722222222222,0,1465,71,0,60,0.0,0.0,0,0,2,2,0,0,1.523964008079819,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.5944787904756075,0.0,0,176,25,0,0,1867,1084,0,1789,188,0,45,0,1435,129482,0,1038,32674,0,0,0,266,0,94,0.0,1.0,1339,2PC__ TO__ PB,0,0,0,675.4277777777778,0.5046879102886888,0,0,0.0,0,0.5046879102886888,40227,40227
5,179997,0,30748,30631,0,0,3852.9498296823476,1999.1777981332118,3852.9498296823476,1.5982377523257139,1887.8810515817308,0.6962028812065766,1.3474519786666667E8,1,200000,UNIFORM,1,11.657411003763501,8.045308411671744,18,0,0,3803,33,0,0,1.5303109145310263,0,0.0,29,0,false,0,2,0,0,210,566,30631,0,0,0,0,243,32,0,0,1.0,112,0,24445,339,0,0,0,1,SAFE,0,0,98491,0,0,1608,1,664,0,0,0,2877,30748,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1352,117997,0,0.2019522705755607,0,-1.0,0,0.0,0,61379,0,2,185,1956,0,0,true,180,33,0,1.0,1954,0,0,0,2,0,0.0,30631,0,0,0,true,0.7980477294244392,230,0,0,44,0,0,true,3805,1.6054377520489138,1405,0,0,0,12911,340.99444444444447,0,1608,71,0,60,0.0,0.0,0,0,2,2,0,0,1.5283536286768307,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.6038327184878065,0.0,0,186,27,0,0,1975,1148,0,1906,195,0,47,0,1500,122758,0,1097,30631,0,0,0,286,0,98,0.0,1.0,1377,2PC__ TO__ PB,0,0,0,655.5444444444445,0.4990469052933414,0,0,0.0,0,0.4990469052933414,39728,39728
6,179993,0,31865,31784,0,0,3739.1730645607854,1901.7391302997019,3739.1730645607854,1.8290794984995837,1845.4240640573873,0.7368376969368259,1.3709714506666666E8,1,200000,UNIFORM,1,12.463808056685886,8.510560810067714,18,0,0,3688,31,0,0,1.527538051153303,0,0.0,28,0,false,0,2,0,0,210,564,31784,0,0,0,0,241,29,0,0,1.0,112,0,25456,330,0,0,0,1,SAFE,0,0,101950,0,0,1476,1,664,0,0,0,2773,31865,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1330,120402,0,0.19909388371507677,0,-1.0,0,0.0,0,63649,0,2,173,1861,0,0,true,168,32,0,1.0,1860,0,0,0,2,0,0.0,31784,0,0,0,true,0.8009061162849233,229,0,0,44,0,0,true,3692,1.6013808253569748,1374,0,0,0,12918,353.60555555555555,0,1476,71,0,60,0.0,0.0,0,0,2,2,0,0,1.5263340045305813,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.6021268562798892,0.0,0,186,27,0,0,1903,1100,0,1815,195,0,46,0,1466,127298,0,1052,31784,0,0,0,281,0,98,0.0,1.0,1345,2PC__ TO__ PB,0,0,0,668.9055555555556,0.4993636977800123,0,0,0.0,0,0.4993636977800123,39831,39831
7,179993,0,32205,32545,0,1,3657.3278754032876,1876.453226207111,3658.975455707482,2.0083585890565394,1802.592960639115,0.7023842047432727,1.3477968426666668E8,1,200000,UNIFORM,1,11.080340844156847,8.111367577334713,15,0,0,3610,32,0,0,1.5246700822853594,0,0.0,28,0,false,0,2,0,0,193,539,32545,0,0,0,0,232,29,0,0,1.0,106,0,25932,327,0,0,1,1,SAFE,0,0,103683,0,0,1453,1,664,0,0,0,2728,32205,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1321,120988,0,0.20319557535719773,71,-1.0,0,1.5443776930086022E-5,960,64750,0,2,0,1837,0,0,true,0,29,0,1.0,1835,0,0,2,2,0,0.0,32545,0,0,0,true,0.7968044246428023,221,0,0,44,0,0,true,3612,1.5970501474926253,1352,0,0,0,11951,359.72222222222223,0,1453,71,0,60,0.0,0.0,0,0,2,2,0,0,1.5313873098786297,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},398,0,2PC,1,1.6054693501305883,0.0,53107,176,27,0,0,1865,1084,0,1792,188,0,44,0,1442,129500,0,1038,32546,0,0,0,263,0,94,0.0,1.0,1335,2PC__ TO__ PB,0,0,1,672.1611111111112,0.5026254826254827,101,0,0.0,0,0.5026331639665796,39967,39967
8,180001,0,31500,31151,0,2,3777.0095252158835,1960.5420346666667,3779.4931456454046,1.7243470384498747,1834.3596882925106,0.73384703823343,1.4428147146666667E8,1,200000,UNIFORM,1,11.399448326496737,7.800177214179688,16,0,0,3730,29,0,0,1.5235238095238095,0,0.0,28,0,false,0,2,0,0,198,554,31151,0,0,0,0,238,28,0,0,1.0,107,0,24944,330,0,0,2,1,SAFE,0,0,100166,0,0,1476,1,664,0,0,0,2820,31500,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1311,120114,0,0.19925524060222785,71,-1.0,0,3.192185529822993E-5,488,62651,0,2,0,1920,0,0,true,0,33,0,1.0,1917,0,0,2,2,0,0.0,31151,0,0,0,true,0.8007447593977721,223,0,0,44,0,0,true,3733,1.5957460317460317,1383,0,0,0,12524,348.06111111111113,0,1476,71,0,60,0.0,0.0,0,0,2,2,0,0,1.5271740875092292,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},315,0,2PC,2,1.6018747391737023,0.0,38253,184,26,0,0,1953,1136,0,1873,190,0,44,0,1473,125302,0,1089,31153,0,0,0,265,0,96,0.0,1.0,1327,2PC__ TO__ PB,0,0,2,667.3111111111111,0.49721472921421844,200,0,0.0,0,0.49723077905287855,40378,40378
9,179997,0,30958,31331,0,0,3811.9452281127315,1942.2374381743007,3811.9452281127315,1.9949611970010757,1877.872236379305,0.7607437510694631,1.3233548053333333E8,1,200000,UNIFORM,1,10.230920740419657,7.598156143139239,16,0,0,3760,31,0,0,1.5267782156470056,0,0.0,29,0,false,0,2,0,0,206,558,31331,0,0,0,0,237,31,0,0,1.0,109,0,25023,338,0,0,0,1,SAFE,0,0,99731,0,0,1547,1,664,0,0,0,2834,30958,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1350,119083,0,0.20133414190418436,0,-1.0,0,0.0,0,62289,0,2,108,1899,0,0,true,92,30,0,1.0,1897,0,0,0,2,0,0.0,31331,0,0,0,true,0.7986658580958157,225,0,0,44,0,0,true,3763,1.6006201951030428,1403,0,0,0,13160,346.05,0,1547,71,0,60,0.0,0.0,0,0,2,2,0,0,1.5306884555232836,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,1.6015767131594907,0.0,0,187,28,0,0,1943,1126,0,1853,191,0,46,0,1496,124578,0,1078,31331,0,0,0,282,0,96,0.0,1.0,1370,2PC__ TO__ PB,0,0,0,661.5833333333334,0.5029941081089759,0,0,0.0,0,0.5029941081089759,40126,40126
