SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,avgWriteTxDuration,gMUClusteredGetCommandWaitingTime,remoteUpdateTxPrepareResponseTime,localReadOnlyTxPrepareResponseTime,numKilledTxDueToValidation,localReadOnlyTxRemoteNodesRead,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,applicationContentionFactor,avgCompleteNotificationAsync,gMUWaitingTimeEnabled,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,remoteUpdateTxCommitServiceTime,avgNumNodesCommit,numRemoteRemoteLockContentions,tOGMUPrepareRttMinusMaxValidationTime,avgCommitAsync,localUpdateTxTotalCpuTime,localUpdateCommittedXact,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,remoteUpdateTxPrepareServiceTime,avgNumOfLockRemoteTx,localUpdateTxLocalServiceTime,avgPutsPerWrTransaction,numWaitedLocalCommits,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgPrepareCommandSize,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,localReadOnlyCommittedXact,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,localUpdateTxLocalRollbackResponseTime,abortRate,numberOfLocalCommits,avgNumOfLockLocalTx,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,currentProtocolAsInt,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,numOwnedWrItemsInRemotePrepare,avgReadOnlyTxDuration,avgClusteredGetCommandReplySize,numWaitedRemoteCommits,replicationDegree,avgNumNodesRollback,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numWaitedRemoteGets,numLocalLocalLockContentions,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgCommitCommandSize,avgLocalSuccessfulLockHoldTime,avgNumNodesCompleteNotification,switchCoolDownTime,numOwnedRdItemsInRemotePrepare,lockContentionProbability,tOPrepareWaitTime,remotelyDeadXact,avgGetsPerROTransaction,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,localUpdateTxRemoteNodesRead,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,avgRemoteGetsPerWrTransaction,numOwnedRdItemsInLocalPrepare,avgAbortedWriteTxDuration,remoteUpdateTxCommitResponseTime,localUpdateTxPrepareServiceTime,avgLocalRemoteAbortLockHoldTime,localUpdateTxLocalResponseTime,numRemoteLocalLockContentions,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalServiceTime,localReadOnlyTxLocalResponseTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,updateXactToPrepare,gMUClusteredGetCommandServiceTime,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,waitedTimeInRemoteCommitQueue,localUpdateTxCommitResponseTime,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,writeSkewProbability,localReadOnlyTxCommitResponseTime,avgRollbackRtt,percentageWriteTransactions,Before,After
0,179999,0,7027,7115,0,2,24648.941852002812,542.4559668421801,24658.21977807449,14.143717335972852,24300.82185045678,0.8199831876912398,4.988112821333333E8,1,200000,UNIFORM,1,71.91957261029411,24.235644513574663,63,0,24456,0,37,0,0,0.0,0,0.0,0,false,0,21,40,0,0,4693,1172,7115,0,0,0,0,21,0,110,1.0,0,445,0,0,3913,0,0,2,0,SAFE,0,0,0,0,0,24013,39,0,664,0,0,12495,7027,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},18589,304912,0,1.0,71,-1.0,0,6668,1.414027149321267E-4,14142,0,2,48,377,0,true,0,76,0,0,1.0,374,0,0,40,40,0,0.0,7115,0,0,0,true,0.0,117,0,0,0,0,0,true,24460,0.0,18511,0,0,0,26701,78.56666666666666,0,71,24013,0,60,0.0,0.0,0,0,2,40,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},610,0,2PC,2,0.0,0.0,32803,40,576,0,354,0,0,0,79,251,0,215,0,18957,28284,0,0,7117,0,0,0,0,4970,0,0.0,1.0,18718,2PC__ TO__ PB,0,0,2,1694.2444444444445,0.5031112996747278,5920,0.0,0,0,0.5031815610859729,200040,200040
1,180019,0,7965,7833,0,2,22399.09938337802,482.3654214689265,22409.13785318524,16.067997721518985,22007.2097460743,0.7105530755393631,4.8729419306666666E8,1,200000,UNIFORM,1,58.01033449367089,22.043877088607594,57,0,22238,0,24,0,0,0.0,0,0.0,0,false,0,20,40,0,0,3491,1219,7833,0,0,0,0,19,0,143,1.0,0,441,0,0,3682,0,0,2,0,SAFE,0,0,0,0,0,22278,39,0,664,0,0,11209,7965,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},17777,305659,0,1.0,71,-1.0,0,7579,1.2658227848101267E-4,15798,0,2,40,355,0,true,0,39,0,0,1.0,352,0,0,40,40,0,0.0,7833,0,0,0,true,0.0,114,0,0,0,0,0,true,22243,0.0,17827,0,0,0,20854,87.76666666666667,0,71,22278,0,60,0.0,0.0,0,0,2,40,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},816,0,2PC,2,0.0,0.0,39031,24,597,0,399,0,0,0,79,254,0,172,0,18083,31596,0,0,7835,0,0,0,0,3670,0,0.0,1.0,17902,2PC__ TO__ PB,0,0,2,1698.3944444444444,0.4958222559817698,7063,0.0,0,0,0.49588607594936707,200040,200040
2,179995,0,8091,8089,0,2,21723.69991964396,443.29968817204303,21731.461210656445,17.45735842293907,21373.284101866735,0.800269523620584,4.4636036106666666E8,1,200000,UNIFORM,1,52.5068644790508,21.667116302064024,50,0,21583,0,23,0,0,0.0,0,0.0,0,false,0,20,40,0,0,3011,1230,8089,0,0,0,0,19,0,138,1.0,0,444,0,0,3673,0,0,2,0,SAFE,0,0,0,0,0,21001,39,0,664,0,0,10945,8091,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},17921,305717,0,1.0,71,-1.0,0,2746,1.2359411692003462E-4,16180,0,2,39,304,0,true,0,37,0,0,1.0,302,0,0,40,40,0,0.0,8089,0,0,0,true,0.0,113,0,0,0,0,0,true,21587,0.0,17707,0,0,0,14948,89.88888888888889,0,71,21001,0,60,0.0,0.0,0,0,2,40,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},538,0,2PC,2,0.0,0.0,31197,22,611,0,355,0,0,0,79,216,0,171,0,17963,32360,0,0,8091,0,0,0,0,3181,0,0.0,1.0,18010,2PC__ TO__ PB,0,0,2,1698.7166666666667,0.499938195302843,2221,0.0,0,0,0.5,200040,200040
3,179997,0,7417,7502,0,0,23392.240033457743,523.0599323176486,23392.240033457743,16.360548696293318,22970.716588376432,0.7782524482084532,4.9324789546666664E8,1,200000,UNIFORM,1,58.365575976942154,22.358454722166364,63,0,23186,0,27,0,0,0.0,0,0.0,0,false,0,21,40,0,0,4102,1243,7502,0,0,0,0,20,0,141,1.0,0,455,0,0,3782,0,0,0,0,SAFE,0,0,0,0,0,22429,39,0,664,0,0,11844,7417,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},18198,305114,0,1.0,0,-1.0,0,0,0.0,14919,0,2,42,375,0,true,0,49,0,0,1.0,372,0,0,40,0,0,0.0,7502,0,0,0,true,0.0,118,0,0,0,0,0,true,23190,0.0,18014,0,0,0,23124,82.88333333333334,0,71,22429,0,60,0.0,0.0,0,0,2,40,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,27,607,0,427,0,0,0,81,263,0,206,0,18329,29838,0,0,7502,0,0,0,0,4319,0,0.0,1.0,18307,2PC__ TO__ PB,0,0,0,1695.3666666666666,0.5028487164019037,0,0.0,0,0,0.5028487164019037,200040,200040
4,179996,0,7852,7822,0,3,22482.51837893122,440.8857809475293,22492.091771286116,15.736912929769726,22104.49344847865,0.773773481995561,4.889482933333333E8,1,200000,UNIFORM,1,54.69448855010525,21.940054155769598,51,0,22320,0,25,0,0,0.0,0,0.0,0,false,0,20,40,0,0,3472,1245,7822,0,0,0,0,20,0,136,1.0,0,455,0,0,3723,0,0,3,0,SAFE,0,0,0,0,0,22669,39,0,664,0,0,11302,7852,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},17906,305512,0,1.0,71,-1.0,0,2527,1.9136314345856987E-4,15674,0,2,37,319,0,true,0,32,0,0,1.0,316,0,0,40,40,0,0.0,7822,0,0,0,true,0.0,112,0,0,0,0,0,true,22323,0.0,17962,0,0,0,19330,87.07777777777778,0,71,22669,0,60,0.0,0.0,0,0,2,40,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},559,0,2PC,3,0.0,0.0,24701,24,616,0,378,0,0,0,77,214,0,169,0,18210,31348,0,0,7825,0,0,0,0,3645,0,0.0,1.0,18038,2PC__ TO__ PB,0,0,3,1697.5777777777778,0.4990430011483986,2226,0.0,0,0,0.49913886585443645,200040,200040
5,179997,0,7412,7237,0,0,24224.79106591129,535.102691716136,24224.79106591129,21.311696088470203,23734.843264750587,0.8456149849857938,4.6197743306666666E8,1,200000,UNIFORM,1,71.11801058092703,23.120819373336065,65,0,24019,0,29,0,0,0.0,0,0.0,0,false,0,21,40,0,0,4505,1236,7237,0,0,0,0,20,0,138,1.0,0,455,0,0,3802,0,0,0,0,SAFE,0,0,0,0,0,23183,39,0,664,0,0,12055,7412,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},18413,305154,0,1.0,0,-1.0,0,0,0.0,14649,0,2,43,377,0,true,0,88,0,0,1.0,375,0,0,40,0,0,0.0,7237,0,0,0,true,0.0,114,0,0,0,0,0,true,24022,0.0,18276,0,0,0,23677,81.38333333333334,0,71,23183,0,60,0.0,0.0,0,0,2,40,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,30,604,0,477,0,0,0,77,251,0,218,0,18650,29298,0,0,7237,0,0,0,0,4764,0,0.0,1.0,18527,2PC__ TO__ PB,0,0,0,1695.588888888889,0.49402689603385896,0,0.0,0,0,0.49402689603385896,200040,200040
6,180014,0,7331,7351,0,2,23863.616496939194,502.88806233801665,23888.229325806013,19.73351818305639,23456.121457488774,0.7099526551192467,4.3831182346666664E8,1,200000,UNIFORM,1,66.22277254154181,21.645857395804956,57,0,23677,0,27,0,0,0.0,0,0.0,0,false,0,20,40,0,0,4282,1231,7351,0,0,0,0,20,0,137,1.0,0,449,0,0,3831,0,0,2,0,SAFE,0,0,0,0,0,24358,39,0,664,0,0,12045,7331,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},18263,305010,0,1.0,71,-1.0,0,1438,1.3620266957232362E-4,14682,0,2,40,359,0,true,0,40,0,0,1.0,356,0,0,40,40,0,0.0,7351,0,0,0,true,0.0,116,0,0,0,0,0,true,23683,0.0,18336,0,0,0,20925,81.56666666666666,0,71,24358,0,60,0.0,0.0,0,0,2,40,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},535,0,2PC,2,0.0,0.0,90136,29,607,0,405,0,0,0,80,250,0,203,0,18652,29364,0,0,7353,0,0,0,0,4503,0,0.0,1.0,18423,2PC__ TO__ PB,0,0,2,1694.7888888888888,0.5006811061163329,1228,0.0,0,0,0.5007491146826478,200040,200040
7,179995,0,7042,7175,0,0,24429.53428557491,576.1494744390798,24429.53428557491,19.094673630161076,23974.883721811846,0.7263837187468931,4.594103978666667E8,1,200000,UNIFORM,1,64.96066568193008,21.82706133502145,65,0,24246,0,31,0,0,0.0,0,0.0,0,false,0,21,40,0,0,4726,1264,7175,0,0,0,0,21,0,137,1.0,0,468,0,0,3883,0,0,0,0,SAFE,0,0,0,0,0,23609,39,0,664,0,0,12444,7042,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},18261,304764,0,1.0,0,-1.0,0,0,0.0,14217,0,2,41,421,0,true,0,36,0,0,1.0,418,0,0,40,0,0,0.0,7175,0,0,0,true,0.0,119,0,0,0,0,0,true,24250,0.0,18404,0,0,0,21461,78.98333333333333,0,71,23609,0,60,0.0,0.0,0,0,2,40,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,32,621,0,437,0,0,0,79,278,0,206,0,18742,28434,0,0,7175,0,0,0,0,4951,0,0.0,1.0,18386,2PC__ TO__ PB,0,0,0,1693.4222222222222,0.5046774987690793,0,0.0,0,0,0.5046774987690793,200040,200040
8,179996,0,7363,7424,0,0,23639.5837029903,511.7235154149124,23639.5837029903,17.103211199026173,23212.951840786638,0.8367232506037241,4.9055299093333334E8,1,200000,UNIFORM,1,68.33515229593563,22.866907756813415,59,0,23439,0,25,0,0,0.0,0,0.0,0,false,0,20,40,0,0,4251,1240,7424,0,0,0,0,19,0,143,1.0,0,455,0,0,3802,0,0,0,0,SAFE,0,0,0,0,0,22180,39,0,664,0,0,11954,7363,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},18430,305048,0,1.0,0,-1.0,0,0,0.0,14787,0,2,41,377,0,true,0,39,0,0,1.0,374,0,0,40,0,0,0.0,7424,0,0,0,true,0.0,118,0,0,0,0,0,true,23445,0.0,18122,0,0,0,19425,82.15,0,71,22180,0,60,0.0,0.0,0,0,2,40,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,27,604,0,430,0,0,0,82,254,0,208,0,18436,29574,0,0,7424,0,0,0,0,4460,0,0.0,1.0,18529,2PC__ TO__ PB,0,0,0,1695.0,0.5020626225738825,0,0.0,0,0,0.5020626225738825,200040,200040
9,179996,0,7198,7144,0,3,24564.511606103024,514.1730993331481,24582.561587486,20.760587312652493,24112.424525335944,0.8129686683323322,4.591903466666667E8,1,200000,UNIFORM,1,68.31136946671313,21.73302711746253,63,0,24355,0,31,0,0,0.0,0,0.0,0,false,0,21,40,0,0,4785,1268,7144,0,0,0,0,20,0,138,1.0,0,469,0,0,3840,0,0,3,0,SAFE,0,0,0,0,0,24441,39,0,664,0,0,12326,7198,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},18319,304969,0,1.0,71,-1.0,0,5305,2.0913210177762287E-4,14342,0,2,38,372,0,true,0,48,0,0,1.0,370,0,0,40,40,0,0.0,7144,0,0,0,true,0.0,117,0,0,0,0,0,true,24364,0.0,18367,0,0,0,25207,79.67777777777778,0,71,24441,0,60,0.0,0.0,0,0,2,40,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},628,0,2PC,3,0.0,0.0,42379,32,622,0,431,0,0,0,79,253,0,206,0,18756,28684,0,0,7147,0,0,0,0,5035,0,0.0,1.0,18473,2PC__ TO__ PB,0,0,3,1694.5611111111111,0.4981174173755404,4460,0.0,0,0,0.4982223771348902,200040,200040
10,180000,0,7086,7111,0,0,24717.809796512447,510.6871131809201,24717.809796512447,19.92757977037402,24287.377880326258,0.8176919082360159,4.923188773333333E8,1,200000,UNIFORM,1,60.34780981897584,22.862867929844334,59,0,24526,0,30,0,0,0.0,0,0.0,0,false,0,21,40,0,0,4675,1240,7111,0,0,0,0,20,0,136,1.0,0,457,0,0,3911,0,0,0,0,SAFE,0,0,0,0,0,23728,39,0,664,0,0,12461,7086,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},18406,304873,0,1.0,0,-1.0,0,0,0.0,14197,0,2,43,359,0,true,0,37,0,0,1.0,353,0,0,40,0,0,0.0,7111,0,0,0,true,0.0,116,0,0,0,0,0,true,24530,0.0,18491,0,0,0,27604,78.87222222222222,0,71,23728,0,60,0.0,0.0,0,0,2,40,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,33,607,0,433,0,0,0,79,240,0,198,0,18974,28394,0,0,7111,0,0,0,0,4939,0,0.0,1.0,18523,2PC__ TO__ PB,0,0,0,1694.0277777777778,0.5008804677044446,0,0.0,0,0,0.5008804677044446,200040,200040
11,179996,0,7323,7238,0,0,24298.4807218845,476.7571328690427,24298.4807218845,15.756037428748026,23883.305588698535,0.7823879788809583,4.553796986666667E8,1,200000,UNIFORM,1,58.07552001922945,22.39259961541103,55,0,24110,0,29,0,0,0.0,0,0.0,0,false,0,20,40,0,0,4486,1233,7238,0,0,0,0,20,0,137,1.0,0,458,0,0,3844,0,0,0,0,SAFE,0,0,0,0,0,23651,39,0,664,0,0,12155,7323,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},18643,305060,0,1.0,0,-1.0,0,0,0.0,14561,0,2,45,342,0,true,0,60,0,0,1.0,340,0,0,40,0,0,0.0,7238,0,0,0,true,0.0,112,0,0,0,0,0,true,24116,0.0,18379,0,0,0,24033,80.89444444444445,0,71,23651,0,60,0.0,0.0,0,0,2,40,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,0.0,0,31,598,0,394,0,0,0,76,243,0,192,0,18797,29122,0,0,7238,0,0,0,0,4753,0,0.0,1.0,18767,2PC__ TO__ PB,0,0,0,1695.0666666666666,0.4970812444200261,0,0.0,0,0,0.4970812444200261,200040,200040
12,179993,0,6972,7176,0,3,24430.454743171686,545.1553714859438,24454.7740819398,18.92949155536711,23989.335447742473,0.765950890860762,4.9017236E8,1,200000,UNIFORM,1,66.9326550067133,23.102102466256802,63,0,24223,0,29,0,0,0.0,0,0.0,0,false,0,20,40,0,0,4478,1252,7176,0,0,0,0,21,0,137,1.0,0,459,0,0,3929,0,0,3,0,SAFE,0,0,0,0,0,23489,39,0,664,0,0,12494,6972,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},18559,304749,0,1.0,71,-1.0,0,2234,2.1199915200339198E-4,14148,0,2,49,400,0,true,0,51,0,0,1.0,397,0,0,40,40,0,0.0,7176,0,0,0,true,0.0,116,0,0,0,0,0,true,24228,0.0,18417,0,0,0,21908,78.6,0,71,23489,0,60,0.0,0.0,0,0,2,40,0,0,0.0,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},517,0,2PC,3,0.0,0.0,57897,32,615,0,430,0,0,0,78,273,0,213,0,18875,28296,0,0,7179,0,0,0,0,4753,0,0.0,1.0,18675,2PC__ TO__ PB,0,0,3,1693.338888888889,0.5072094995759118,1951,0.0,0,0,0.507313970744117,200040,200040
