SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,UPDATE_XACT_RESPONSE_TIME,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,RG_NTCB,RG_NTCB_S,avgLocalGetTime,localReadOnlyTxCommitServiceTime,avgWriteTxDuration,gMUClusteredGetCommandWaitingTime,remoteUpdateTxPrepareResponseTime,localReadOnlyTxPrepareResponseTime,numKilledTxDueToValidation,numLocalTxWaitingTimeInGMUQueueDueToSlowCommits,localReadOnlyTxRemoteNodesRead,applicationContentionFactor,remoteUpdateTxCommitServiceTime,avgLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgCompleteNotificationAsync,gMUWaitingTimeEnabled,tOGMUPrepareRttMinusMaxValidationTime,numRemoteRemoteLockContentions,avgNumNodesCommit,avgCommitAsync,localUpdateTxTotalCpuTime,localUpdateCommittedXact,avgPrepareAsync,numLocalTxWaitingTimeInGMUQueueDueToCommitsConflicts,localReadOnlyTxPrepareServiceTime,waitedTimeInLocalCommitQueue,avgNumOfLockRemoteTx,remoteUpdateTxPrepareServiceTime,localUpdateTxLocalServiceTime,numWaitedLocalCommits,avgPutsPerWrTransaction,localUpdateTxCommitServiceTime,avgTOGMUPrepareNoWaitRtt,numberOfRemotePuts,avgTCBTime,numRemoteTxWaitingTimeInGMUQueueDuePendingTx,numTOGMUSuccessfulPrepareNoWait,numAbortedTxDueToWriteLock,avgNumNodesRemoteGet,currentState,localUpdateTxRemoteRollbackServiceTime,avgRemoteTxWaitingTimeInGMUQueueDuePendingTx,numberOfRemoteGets,avgLocalTxWaitingTimeInGMUQueueDuePendingTx,tOGMUPrepareWaitProbability,avgLocalLockHoldTime,avgNumAsyncSentCommitMsgs,avgPrepareCommandSize,numRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,tOGMUAvgSuccessfulValidationResponseTime,numLocalRemoteLockContentions,avgResponseTime,localReadOnlyCommittedXact,currentProtocolInfo,avgRemoteLockHoldTime,numberOfCommits,tOAvgValidationConditionalWaitTime,numOwnedWrItemsInLocalPrepare,avgRollbackCommandSize,numReadsBeforeWrite,numAbortedTxDueToValidation,localUpdateTxLocalRollbackResponseTime,abortRate,numberOfLocalCommits,avgNumOfLockLocalTx,avgGetsPerWrTransaction,remoteUpdateTxRollbackServiceTime,readOnlyTxTotalResponseTime,avgLockWaitingTime,allowProtocolSwitch,currentProtocolAsInt,remoteUpdateTxRollbackResponseTime,remotePutExecutionTime,avgRemoteTxCompleteNotifyTime,avgClusteredGetCommandReplySize,avgReadOnlyTxDuration,numOwnedWrItemsInRemotePrepare,numWaitedRemoteCommits,replicationDegree,avgNumNodesRollback,avgLocalLocalAbortLockHoldTime,remoteContentionProbability,numberOfPuts,avgNumSyncSentCommitMsgs,numRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,avgGmuClusteredGetCommandRttNoWait,coolDownTimeExpired,avgRemotePutsPerWrTransaction,readOnlyTxTotalCpuTime,numWaitedRemoteGets,numLocalLocalLockContentions,avgClusteredGetCommandSize,tOMaxSuccessfulValidationWaitingTime,localUpdateTxRemoteRollbackResponseTime,enabled,localUpdateTxTotalResponseTime,avgRemoteGetsPerROTransaction,avgPrepareRtt,avgRemoteTxWaitingTimeInGMUQueueDueToCommitsConflicts,avgRemoteTxWaitingTimeInGMUQueueDueToSlowCommits,numEarlyAborts,terminationCost,throughput,tOGMUPrepareRttMinusAvgValidationTime,avgCommitCommandSize,avgLocalSuccessfulLockHoldTime,avgNumNodesCompleteNotification,switchCoolDownTime,lockContentionProbability,tOPrepareWaitTime,numOwnedRdItemsInRemotePrepare,avgGetsPerROTransaction,remotelyDeadXact,avgNumNodesPrepare,numLocalTxWaitingTimeInGMUQueueDuePendingTx,localActiveTransactions,localUpdateTxRemoteNodesRead,availableProtocolsInfo,localUpdateTxLocalRollbackServiceTime,tOGMUAvgSuccessfulValidationServiceTime,currentProtocolId,numLocalPrepareAborts,numOwnedRdItemsInLocalPrepare,avgRemoteGetsPerWrTransaction,avgAbortedWriteTxDuration,avgLocalRemoteAbortLockHoldTime,localUpdateTxPrepareServiceTime,remoteUpdateTxCommitResponseTime,localUpdateTxLocalResponseTime,numRemoteLocalLockContentions,remoteGetResponseTime,numAbortedTxDueDeadlock,localReadOnlyTxLocalResponseTime,localReadOnlyTxLocalServiceTime,avgNumOfLockSuccessLocalTx,avgNTCBTime,numAbortedTxDueToReadLock,localUpdateTxPrepareResponseTime,numberOfGets,avgCommitRtt,avgRemoteGetRtt,gMUClusteredGetCommandServiceTime,updateXactToPrepare,currentEpoch,avgLocalTxWaitingTimeInGMUQueueDueToSlowCommits,waitedTimeInRemoteCommitQueue,localUpdateTxCommitResponseTime,remoteGetServiceTime,localContentionProbability,avgNumPutsBySuccessfulLocalTx,avgLockHoldTime,availableProtocolIds,gMUClusteredGetCommandResponseTime,tONumValidationWaited,numAbortedXacts,avgTxArrivalRate,percentageSuccessWriteTransactions,avgRollbackAsync,localReadOnlyTxCommitResponseTime,writeSkewProbability,avgRollbackRtt,percentageWriteTransactions,Before,After
0,179989,0,86464,4498,0,0,3968.4333412627834,1868.2263835469098,3968.4333412627834,1.2798079857522922,2080.9727985771456,0.6367499488736271,1.3212485546666667E8,1,100000,UNIFORM,1,9.71539725379829,7.110126107605374,15,0,3914,0,69,0,0,0,1.5316200962250186,0.0,47,0,0,false,0,0,2,215,737,4498,0,0,0,0,0,67,258,0,1.0,145,0,3613,74,0,0,0,1,SAFE,0,0,145879,0,0,1793,1,663,0,0,0,1933,86464,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1505,99398,0,0.19675411293908404,0,-1.0,0,0,0.0,90962,0,2,0,1831,0,true,0,0,40,0,0,1829,1.0,0,2,0,0,0.0,4498,0,0,0,true,0.8032458870609159,227,0,0,43,0,0,true,3917,1.6035691154700222,1530,0,0,0,11419,505.34444444444443,0,71,1793,0,60,0.0,0,0.0,2,0,2,0,0,1.5337927967985772,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,1.606936416184971,0,0,307,49,1889,0,1080,0,1787,194,0,38,0,1677,181924,0,1034,0,4498,0,0,0,307,99,0.0,1.0,1531,2PC__ TO__ PB,0,0,0,552.2111111111111,0.049449220553637784,0,0,0.0,0,0.049449220553637784,19909,19909
1,179996,0,87528,4632,0,0,4085.138605569948,1833.383949593273,4085.138605569948,1.2567254014756946,2209.3418650690846,0.7287525437619852,1.1546714186666666E8,1,100000,UNIFORM,1,9.2953072265625,6.7466073784722225,15,0,4022,0,57,0,0,0,1.5251348140023764,0.0,40,0,0,false,0,0,2,270,823,4632,0,0,0,0,0,58,292,0,1.0,184,0,3741,77,0,0,0,1,SAFE,0,0,147681,0,0,1972,1,663,0,0,0,1910,87528,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1508,100639,0,0.19235751295336787,0,-1.0,0,0,0.0,92160,0,2,0,1800,0,true,0,0,61,0,0,1798,1.0,0,2,0,0,0.0,4632,0,0,0,true,0.8076424870466321,214,0,0,43,0,0,true,4024,1.6022301434969382,1548,0,0,0,9684,512.0,0,71,1972,0,60,0.0,0,0.0,2,0,2,0,0,1.5295768566493955,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,1.606433506044905,0,0,318,38,1875,0,1060,0,1757,182,0,36,0,1720,184320,0,1017,0,4632,0,0,0,386,91,0.0,1.0,1551,2PC__ TO__ PB,0,0,0,559.1055555555556,0.05026041666666667,0,0,0.0,0,0.05026041666666667,19796,19796
2,179995,0,91834,4745,0,0,3879.7571211801896,1753.5510655530632,3879.7571211801896,1.144786175048406,2073.278717808219,0.5130203544305522,1.1423565493333334E8,1,100000,UNIFORM,1,8.46728029902981,6.479335186738318,15,0,3838,0,49,0,0,0,1.5286386305725548,0.0,39,0,0,false,0,0,2,248,803,4745,0,0,0,0,0,49,279,0,1.0,183,0,3759,71,0,0,0,1,SAFE,0,0,154629,0,0,1897,1,663,0,0,0,1824,91834,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1430,105099,0,0.20779768177028451,0,-1.0,0,0,0.0,96579,0,2,0,1722,0,true,0,0,60,0,0,1720,1.0,0,2,0,0,0.0,4745,0,0,0,true,0.7922023182297155,209,0,0,43,0,0,true,3840,1.6007687784480693,1468,0,0,0,9032,536.55,0,71,1897,0,60,0.0,0,0.0,2,0,2,0,0,1.5380400421496312,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,1.6067439409905164,0,0,313,39,1819,0,1018,0,1683,179,0,34,0,1625,193158,0,978,0,4745,0,0,0,355,90,0.0,1.0,1478,2PC__ TO__ PB,0,0,0,583.8833333333333,0.0491307634164777,0,0,0.0,0,0.0491307634164777,20043,20043
3,179996,0,88700,4759,0,0,3938.0608556419415,1811.9273137091318,3938.0608556419415,1.4757315400335977,2105.6875978146672,0.6054781561740208,1.142714E8,1,100000,UNIFORM,1,8.449156796028204,6.664914914561465,15,0,3888,0,53,0,0,0,1.5174069898534386,0.0,42,0,0,false,0,0,2,252,797,4759,0,0,0,0,0,52,279,0,1.0,179,0,3861,74,0,0,0,1,SAFE,0,0,149366,0,0,1707,1,663,0,0,0,1883,88700,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1479,101891,0,0.18869510401344822,0,-1.0,0,0,0.0,93459,0,2,0,1777,0,true,0,0,62,0,0,1776,1.0,0,2,0,0,0.0,4759,0,0,0,true,0.8113048959865518,212,0,0,43,0,0,true,3890,1.5987147688838783,1492,0,0,0,9884,519.2166666666667,0,71,1707,0,60,0.0,0,0.0,2,0,2,0,0,1.512712754780416,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,1.588569027106535,0,0,311,39,1840,0,1052,0,1737,181,0,36,0,1655,186918,0,1011,0,4759,0,0,0,352,91,0.0,1.0,1500,2PC__ TO__ PB,0,0,0,566.0611111111111,0.05092072459581207,0,0,0.0,0,0.05092072459581207,19920,19920
4,180006,0,90888,4604,0,0,3958.760453735882,1774.0043243222428,3958.760453735882,1.2700424957064465,2131.6991989574285,0.6673756477201325,1.152709216E8,1,100000,UNIFORM,1,8.297467829765845,6.416718248649101,15,0,3899,0,58,0,0,0,1.5258780036968578,0.0,42,0,0,false,0,0,2,264,815,4604,0,0,0,0,0,57,289,0,1.0,182,0,3671,72,0,0,0,1,SAFE,0,0,152666,0,0,1740,1,663,0,0,0,1845,90888,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1458,104026,0,0.2026498696785404,0,-1.0,0,0,0.0,95492,0,2,0,1743,0,true,0,0,63,0,0,1741,1.0,0,2,0,0,0.0,4604,0,0,0,true,0.7973501303214596,209,0,0,43,0,0,true,3901,1.598549863568348,1505,0,0,0,9522,530.5111111111111,0,71,1740,0,60,0.0,0,0.0,2,0,2,0,0,1.5223718505647263,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,1.6023023457862728,0,0,316,43,1826,0,1031,0,1702,179,0,34,0,1666,190984,0,991,0,4604,0,0,0,366,90,0.0,1.0,1487,2PC__ TO__ PB,0,0,0,577.9222222222222,0.04821346290788757,0,0,0.0,0,0.04821346290788757,20028,20028
5,179995,0,90219,4681,0,0,3937.0697564622947,1784.6239467074563,3937.0697564622947,1.0456394415173869,2091.770288186285,0.4768807526120676,1.1634287786666666E8,1,100000,UNIFORM,1,8.548289884088513,6.47753569020021,15,0,3891,0,54,0,0,0,1.5266628980591672,0.0,40,0,0,false,0,0,2,274,812,4681,0,0,0,0,0,51,280,0,1.0,186,0,3781,71,0,0,0,1,SAFE,0,0,152018,0,0,1743,1,663,0,0,0,1856,90219,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1431,103309,0,0.19226660969878231,0,-1.0,0,0,0.0,94900,0,2,0,1752,0,true,0,0,57,0,0,1750,1.0,0,2,0,0,0.0,4681,0,0,0,true,0.8077333903012177,211,0,0,43,0,0,true,3894,1.6015695141821567,1466,0,0,0,10428,527.2222222222222,0,71,1743,0,60,0.0,0,0.0,2,0,2,0,0,1.531723990600299,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,1.6077761162144841,0,0,318,37,1856,0,1036,0,1711,180,0,34,0,1620,189800,0,995,0,4681,0,0,0,376,91,0.0,1.0,1461,2PC__ TO__ PB,0,0,0,573.9388888888889,0.049325605900948366,0,0,0.0,0,0.049325605900948366,19956,19956
6,179995,0,90731,4884,0,0,3930.2056461916463,1766.2921190993154,3930.2056461916463,1.187543952308738,2091.1141183456184,0.6060403669712244,1.1341980533333333E8,1,100000,UNIFORM,1,8.281217131203263,6.389489180567903,15,0,3874,0,60,0,0,0,1.528485302708005,0.0,40,0,0,false,0,0,2,256,817,4884,0,0,0,0,0,59,290,0,1.0,184,0,3876,73,0,0,0,1,SAFE,0,0,153346,0,0,1681,1,663,0,0,0,1841,90731,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1506,103849,0,0.20638820638820637,0,-1.0,0,0,0.0,95615,0,2,0,1733,0,true,0,0,62,0,0,1732,1.0,0,2,0,0,0.0,4884,0,0,0,true,0.7936117936117936,215,0,0,43,0,0,true,3876,1.6035643826255634,1469,0,0,0,9813,531.1944444444445,0,71,1681,0,60,0.0,0,0.0,2,0,2,0,0,1.5280507780507782,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,1.607903357903358,0,0,314,37,1842,0,1023,0,1693,185,0,34,0,1628,191230,0,981,0,4884,0,0,0,365,93,0.0,1.0,1524,2PC__ TO__ PB,0,0,0,576.9388888888889,0.05107985148773728,0,0,0.0,0,0.05107985148773728,19945,19945
7,179995,0,89644,4698,0,0,3939.4618665389526,1794.9384381442148,3939.4618665389526,1.3278008310190583,2103.236410600255,0.6664981115649521,1.1750435253333333E8,1,100000,UNIFORM,1,8.8914256110746,6.862703748065549,15,0,3880,0,52,0,0,0,1.5282339029940655,0.0,44,0,0,false,0,0,2,259,836,4698,0,0,0,0,0,53,295,0,1.0,191,0,3773,74,0,0,0,1,SAFE,0,0,151049,0,0,1748,1,663,0,0,0,1865,89644,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1485,102819,0,0.196892294593444,0,-1.0,0,0,0.0,94342,0,2,0,1761,0,true,0,0,58,0,0,1760,1.0,0,2,0,0,0.0,4698,0,0,0,true,0.803107705406556,219,0,0,43,0,0,true,3882,1.6012226138949623,1466,0,0,0,10384,524.1222222222223,0,71,1748,0,60,0.0,0,0.0,2,0,2,0,0,1.5263942103022563,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,1.5983397190293742,0,0,321,43,1835,0,1038,0,1719,186,0,35,0,1631,188684,0,997,0,4698,0,0,0,372,93,0.0,1.0,1512,2PC__ TO__ PB,0,0,0,571.2166666666667,0.04979754510186343,0,0,0.0,0,0.04979754510186343,19988,19988
8,179995,0,93479,4775,0,0,3765.095817801047,1726.787859241113,3765.095817801047,1.2831836464673194,1982.694954973822,0.6630197503289003,1.199505616E8,1,100000,UNIFORM,1,8.973483634254077,6.731186099293668,15,0,3705,0,55,0,0,0,1.5208228586099553,0.0,41,0,0,false,0,0,2,237,814,4775,0,0,0,0,0,54,289,0,1.0,181,0,3768,69,0,0,0,1,SAFE,0,0,156491,0,0,1676,1,663,0,0,0,1789,93479,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1448,106771,0,0.21089005235602093,0,-1.0,0,0,0.0,98254,0,2,0,1693,0,true,0,0,56,0,0,1691,1.0,0,2,0,0,0.0,4775,0,0,0,true,0.789109947643979,212,0,0,43,0,0,true,3707,1.5929887996234449,1382,0,0,0,9866,545.8555555555556,0,71,1676,0,60,0.0,0,0.0,2,0,2,0,0,1.5141361256544503,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,1.587434554973822,0,0,316,38,1778,0,1003,0,1652,181,0,36,0,1547,196508,0,964,0,4775,0,0,0,336,92,0.0,1.0,1472,2PC__ TO__ PB,0,0,0,593.1722222222222,0.048598530339731716,0,0,0.0,0,0.048598530339731716,20353,20353
9,179995,0,87348,4606,0,0,4101.378618541034,1837.722124501992,4101.378618541034,1.4371103704025927,2201.438429222753,0.5306374376574734,1.1570710666666667E8,1,100000,UNIFORM,1,9.157827348456836,6.574142680035671,15,0,4044,0,58,0,0,0,1.524556944635252,0.0,43,0,0,false,0,0,2,275,833,4606,0,0,0,0,0,56,287,0,1.0,190,0,3702,76,0,0,0,1,SAFE,0,0,146854,0,0,1810,1,663,0,0,0,1913,87348,{2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol},1475,100345,0,0.19626574033868865,0,-1.0,0,0,0.0,91954,0,2,0,1803,0,true,0,0,68,0,0,1801,1.0,0,2,0,0,0.0,4606,0,0,0,true,0.8037342596613113,219,0,0,43,0,0,true,4047,1.5969226542107433,1531,0,0,0,10141,510.85555555555555,0,71,1810,0,60,0.0,0,0.0,2,0,2,0,0,1.531480677377334,{TO=org.infinispan.reconfigurableprotocol.protocol.TotalOrderCommitProtocol__ 2PC=org.infinispan.reconfigurableprotocol.protocol.TwoPhaseCommitProtocol__ PB=org.infinispan.reconfigurableprotocol.protocol.PassiveReplicationCommitProtocol},0,0,2PC,0,0.0,1.5992184107685627,0,0,326,42,1906,0,1067,0,1759,186,0,37,0,1702,183908,0,1023,0,4606,0,0,0,393,94,0.0,1.0,1507,2PC__ TO__ PB,0,0,0,557.4722222222222,0.05009026252256563,0,0,0.0,0,0.05009026252256563,20082,20082
