SLAVE_INDEX,DURATION,REQ_PER_SEC,READ_COUNT,WRITE_COUNT,LOCAL_FAILURES,REMOTE_FAILURES,SUX_UPDATE_XACT_RESPONSE,SUX_READ_ONLY_XACT_RESPONSE,INIT_TIME,COMMIT_TIME,CPU_USAGE,MEM_USAGE,NUM_THREADS,NUM_KEYS,DATA_ACCESS_PATTERN,READS_BEFORE_FIRST_WRITE,NumAbortedTxDueToReadLock,RemoteUpdateTxPrepareServiceTime,AvgCommitAsync,LocalUpdateTxPrepareResponseTime,AvgGetsPerWrTransaction,AvgNumSyncSentCommitMsgs,AvgClusteredGetCommandSize,ReadOnlyTxTotalCpuTime,LocalReadOnlyTxCommitResponseTime,AvgPutsPerWrTransaction,AvgNumNodesPrepare,LocalReadOnlyTxLocalServiceTime,NumAbortedTxDueToValidation,AvgLocalSuccessfulLockHoldTime,AvgLocalRemoteAbortLockHoldTime,RemoteUpdateTxRollbackResponseTime,AvgLocalGetTime,LocalReadOnlyTxLocalResponseTime,AvgRollbackAsync,AvgCommitRtt,RemoteGetServiceTime,AvgLockHoldTime,GMUClusteredGetCommandResponseTime,AvgLocalLockHoldTime,NumLocalRemoteLockContentions,AvgNumAsyncSentCommitMsgs,NumOwnedRdItemsInRemotePrepare,LocalUpdateTxTotalResponseTime,AvgGetsPerROTransaction,LocalUpdateTxCommitServiceTime,LocalUpdateTxRemoteRollbackResponseTime,WaitedTimeInRemoteCommitQueue,PercentageSuccessWriteTransactions,LockContentionProbability,ReadOnlyTxTotalResponseTime,NumberOfRemotePuts,NumAbortedTxDueToNotLastValueAccessed,AvgCompleteNotificationAsync,AvgNumNodesCompleteNotification,NumOwnedRdItemsInLocalPrepare,TerminationCost,NumEarlyAborts,RemotelyDeadXact,LocalReadOnlyTxPrepareServiceTime,AvgRemoteGetRtt,AvgPrepareRtt,UpdateXactToPrepare,WriteSkewProbability,GMUClusteredGetCommandServiceTime,NumRemoteLocalLockContentions,NumLocalLocalLockContentions,NumOwnedWrItemsInLocalPrepare,ReplicationDegree,RemoteUpdateTxRollbackServiceTime,NumberOfRemoteGets,AvgRemoteGetsPerROTransaction,LocalReadOnlyTxCommitServiceTime,AvgRollbackRtt,RemoteContentionProbability,LocalUpdateTxLocalServiceTime,LocalUpdateTxLocalRollbackResponseTime,AvgCommitCommandSize,LocalReadOnlyTxPrepareResponseTime,PercentageWriteTransactions,NumWaitedRemoteGets,AvgNumNodesRollback,NumRemoteRemoteLockContentions,AvgRemoteGetsPerWrTransaction,LocalUpdateTxLocalRollbackServiceTime,NumReadsBeforeWrite,NumOwnedWrItemsInRemotePrepare,RemoteUpdateTxCommitResponseTime,WaitedTimeInLocalCommitQueue,NumLocalPrepareAborts,RemotePutExecutionTime,AvgNumNodesRemoteGet,AvgClusteredGetCommandReplySize,LocalUpdateTxTotalCpuTime,RemoteGetResponseTime,LocalUpdateTxLocalResponseTime,GMUClusteredGetCommandWaitingTime,NumKilledTxDueToValidation,RemoteUpdateTxPrepareResponseTime,ApplicationContentionFactor,AvgRemoteLockHoldTime,RemoteUpdateTxCommitServiceTime,NumAbortedXacts,AvgNumPutsBySuccessfulLocalTx,NumAbortedTxDueToWriteLock,NumWaitedLocalCommits,AvgRemotePutsPerWrTransaction,LocalUpdateTxPrepareServiceTime,LocalUpdateTxRemoteRollbackServiceTime,LocalUpdateTxCommitResponseTime,AvgPrepareCommandSize,AvgNumNodesCommit,NumberOfGets,AvgRollbackCommandSize,LocalContentionProbability,AvgReadOnlyTxDuration,NumWaitedRemoteCommits,AvgPrepareAsync,AvgLocalLocalAbortLockHoldTime,Before,After
0,180547,0,162,1262,5,26,265846.86733042786,96936.28154320989,14.36847560137457,163370.8434080824,0.5029961718408965,3.0144239306666666E8,2,100000,UNIFORM,1,0,1217,1333,126851,10,0,268,9882.0,0,5.0,13,9670,4,202455,285160,123,3156,95619,1455,0,959,180347,1377.0,203817,0,12,1.5212245948031902,265512.0,10,738,2212,81350,0.8862359550561798,0.0,96226.0,5692,5,0,0,1.1172741679873217,55450,5.0,26.0,0,8690,125098,1288.0,0.0,886.0,0,0,0.4896988906497623,2,99,12830,9.0,0,0,0.0,10434,295,242,0,0.8886597938144329,2992,11,0,9.011093502377179,296,-1.0,0.7546308206843324,207,92615,0.0,87,2,1050,13256.0,10921,102414,41730.0,4,2123,0.0,113775,127,31,5.0,22,463,4.510301109350237,1969,658,36086,3129,13,14240,70,0.0,96220,8743,0,0,9996,9996
1,180913,0,139,1243,5,30,272502.1198479485,96248.22426618706,14.794743824982357,164314.87211343524,0.4803689839108006,3.1489659946666664E8,2,100000,UNIFORM,1,0,1182,1510,131065,10,0,268,10332.0,0,5.0,13,10117,7,188595,131228,98,2850,95525,776,0,997,172416,1492.0,187333,0,12,1.5155535518773748,272081.0,10,743,1216,81720,0.8994211287988423,0.0,95937.0,5608,5,0,0,1.078841512469831,55497,5.0,29.0,0,8720,129324,1273.0,0.0,859.0,0,0,0.4883346741753821,2,85,12478,8.877697841726619,0,0,0.0,11006,281,242,0,0.9019054340155258,3270,10,0,9.045856798069188,282,-1.0,0.7512075739035229,230,83129,1.0,99,2,1050,13930.0,11363,108011,41705.0,2,2192,0.0,125018,118,35,5.0,23,457,4.511665325824618,2070,651,32846,3129,13,13820,70,0.0,95930,8707,0,0,9885,9885
2,180868,0,127,1195,6,26,283028.45697489544,119093.24193700787,13.462529542097489,158865.9977707113,0.5500613994170854,2.68355248E8,2,100000,UNIFORM,1,0,1811,1636,126737,10,0,268,18581.0,0,5.0,13,18369,3,206208,162881,134,7415,118407,964,0,1712,203158,3769.0,205335,0,12,1.5301143258606373,282647.0,10,791,1892,77552,0.9039334341906202,0.0,118769.0,5370,6,0,0,1.1389121338912134,56660,6.0,26.0,0,7710,124894,1221.0,0.0,1709.0,0,0,0.5062761506276151,2,92,11859,8.94488188976378,0,0,0.0,18798,243,242,0,0.9062038404726735,4160,10,0,8.973221757322175,242,-1.0,0.7488663217730088,216,79348,0.0,106,2,1050,21868.0,12739,124093,65105.0,9,3802,0.0,196468,123,32,5.0,23,442,4.493723849372385,2162,689,31634,3129,13,13220,70,0.0,118763,8822,0,0,10101,10101
3,180668,0,127,1225,4,22,278106.57480979594,112151.37505511811,12.678047895500725,167510.73033714286,0.4261217622305515,2.876086272E8,2,100000,UNIFORM,1,0,1304,1623,132895,10,0,268,12641.0,0,5.0,13,12430,7,173406,167509,101,3231,111332,2217,0,1126,166873,1579.0,173276,0,12,1.5288886045172436,277758.0,10,794,3443,84328,0.9060650887573964,0.0,111928.0,5517,4,0,0,1.0987755102040817,63883,4.0,22.0,0,9104,130938,1247.0,0.0,993.0,0,0,0.4963265306122449,2,97,12174,9.023622047244094,0,0,0.0,12391,362,242,0,0.9078374455732946,3560,11,0,9.002448979591836,270,-1.0,0.7633885725254335,194,85277,0.0,109,2,1050,15497.0,11746,110512,39847.0,6,2487,0.0,147293,128,26,5.0,15,455,4.503673469387755,2195,864,34134,3129,13,13520,70,0.0,111923,8893,0,0,9897,9897
4,180125,0,126,1242,3,25,273200.41567632847,118491.58320634921,19.83338610315186,164239.28480917873,0.49329697444934645,3.228958896E8,2,100000,UNIFORM,1,0,1167,1646,128468,10,0,268,11434.0,0,5.0,12,11208,4,198211,160325,142,3572,117602,1032,0,964,187110,1280.0,197779,1,12,1.523234260147012,272815.0,10,791,1461,82421,0.9078947368421053,0.0,118260.0,5577,3,0,0,1.1175523349436394,74538,3.0,24.0,0,9229,126627,1267.0,0.0,818.0,0,0,0.5096618357487923,2,98,12292,8.968253968253968,0,0,0.0,10528,283,242,0,0.9097421203438395,3342,10,1,8.987117552334944,215,-1.0,0.7523809523809524,207,91666,1.0,115,2,1050,13629.0,11617,108878,39840.0,4,2168,0.0,154081,123,28,5.0,21,447,4.490338164251208,2194,696,35274,3129,12,13680,70,1.575795776867318E-4,118255,8875,0,0,9941,9941
5,180683,0,92,829,6,25,365565.0321580217,264361.3569130435,13.937135504201681,83808.2383655006,0.8536443873408438,2.795068373333333E8,2,100000,UNIFORM,1,0,2330,1656,60163,10,0,268,10123.0,0,5.0,12,9888,7,104449,79483,233,7707,263331,1148,0,1008,126213,17801.0,103812,2,12,1.5038620441889707,365157.0,10,822,1742,117880,0.9001085776330076,0.0,263960.0,3719,6,0,0,1.1037394451145959,66361,6.0,23.0,0,28236,58250,854.0,0.0,2559.0,0,0,0.5138721351025332,2,91,8295,9.043478260869565,0,0,0.0,10788,546,242,0,0.9033613445378151,7913,9,2,9.002412545235224,257,-1.0,0.7126092683510957,223,55650,2.0,114,2,1050,13784.0,32440,281629,175984.0,2,16299,0.0,180455,115,31,5.0,18,305,4.486127864897467,2059,771,23180,3129,12,9210,70,4.6609182008855747E-4,263954,9172,0,0,9984,9984
6,180989,0,142,1264,8,22,267161.6031526899,112285.34847183098,14.155745125348188,158236.5620197785,0.5389259807036986,3.138922384E8,2,100000,UNIFORM,1,0,1473,1496,125078,10,0,268,17992.0,0,5.0,13,17794,4,178629,185129,115,4143,111598,759,0,1359,164115,2060.0,178778,1,12,1.5364225659457031,266807.0,10,779,1537,84022,0.89900426742532,0.0,112001.0,5693,8,0,0,1.1115506329113924,52418,8.0,21.0,0,8640,123256,1286.0,0.0,1217.0,0,0,0.49604430379746833,2,93,12655,8.992957746478874,0,0,0.0,14642,313,242,0,0.9011142061281338,3033,9,1,9.001582278481013,229,-1.0,0.7573326487388486,196,83119,1.0,108,2,1050,17670.0,11560,108840,39879.0,6,2721,0.0,114136,119,30,5.0,18,466,4.5039556962025316,2135,697,32713,3129,13,14060,70,1.549426712116517E-4,111996,8790,0,0,9961,9961
7,180910,0,145,1216,4,24,280832.4092935855,98918.25705517242,15.054808495320374,161850.42400164474,0.5391415529885613,2.969080944E8,2,100000,UNIFORM,1,0,1478,1447,129430,10,0,268,12548.0,0,5.0,13,12326,5,179845,84062,94,4783,98109,1194,0,1279,163938,2771.0,177247,3,12,1.5197620874904068,280459.0,10,744,2125,83296,0.893460690668626,0.0,98687.0,5494,4,0,0,1.100328947368421,50901,4.0,21.0,0,8438,127696,1240.0,0.0,1254.0,0,0,0.4819078947368421,2,86,12272,9.048275862068966,0,0,0.0,14166,353,242,0,0.8956083513318934,3581,10,3,9.013157894736842,294,-1.0,0.7583781018163213,187,83493,3.0,110,2,1050,17062.0,12239,118853,49009.0,8,3593,0.0,122821,120,28,5.0,19,435,4.5180921052631575,2046,656,32020,3129,13,13610,70,4.8316959252697695E-4,98681,8886,0,22649,9831,9831
8,180871,0,137,1232,5,26,276139.148450487,107284.42824817519,23.12952357142857,162664.79673538962,0.5513172198585241,2.797528693333333E8,2,100000,UNIFORM,1,0,1293,1450,129905,10,0,268,11876.0,0,5.0,13,11662,4,177809,115256,137,3512,106509,2000,0,1093,166848,1881.0,176336,1,12,1.5283483976992605,275732.0,10,763,2921,82924,0.8999269539810081,0.0,106996.0,5514,5,0,0,1.1542207792207793,62880,5.0,25.0,0,9111,127863,1258.0,0.0,1021.0,0,0,0.5243506493506493,2,91,12268,8.985401459854014,0,0,0.0,12109,223,242,0,0.9021428571428571,3268,10,1,8.958603896103897,205,-1.0,0.7504582516907907,185,79142,1.0,115,2,1050,15123.0,11985,113325,43467.0,5,2697,0.0,133823,123,31,5.0,22,470,4.47564935064935,2137,731,32331,3129,13,13690,70,1.5855398763278897E-4,106991,8810,0,0,10129,10129
9,180849,0,144,1278,6,22,264218.15685837244,111332.93633333333,17.95494896551724,161761.33769327073,0.46937032454057837,2.8909246773333335E8,2,100000,UNIFORM,1,0,1374,1361,122775,10,0,268,13780.0,0,5.0,12,13569,6,165700,65148,171,3972,110651,432,0,1194,158265,1918.0,164457,1,12,1.5179818887451488,263808.0,10,747,713,84422,0.8987341772151899,0.0,111097.0,5685,6,0,0,1.1752738654147106,63921,6.0,21.0,0,8495,121009,1300.0,0.0,1089.0,0,0,0.5516431924882629,2,85,12718,9.027777777777779,0,0,0.0,12915,453,242,0,0.9006896551724138,2984,10,1,8.934272300469484,293,-1.0,0.757503234152652,186,92753,1.0,90,2,1049,15854.0,11007,102311,42628.0,5,2437,0.0,136596,116,28,5.0,16,503,4.448356807511737,2083,532,38534,3129,12,14220,70,1.5349194167306216E-4,111092,8747,0,0,9965,9965
